Time	Creep Compliance
0.2012	5.55e-06
0.3013	6.02e-06
0.4014	6.38e-06
0.5015	6.67e-06
0.6011	6.89e-06
0.7022	7.17e-06
0.8023	7.37e-06
0.9024	7.58e-06
1.003	7.81e-06
1.103	7.95e-06
1.204	8.18e-06
1.304	8.33e-06
1.405	8.49e-06
1.506	8.59e-06
1.607	8.77e-06
1.707	8.91e-06
1.808	9e-06
1.909	9.16e-06
2.01	9.3e-06
2.111	9.37e-06
2.212	9.52e-06
2.314	9.6e-06
2.414	9.74e-06
2.516	9.82e-06
2.617	9.98e-06
2.718	1e-05
2.82	1.01e-05
2.921	1.03e-05
3.023	1.04e-05
3.124	1.05e-05
3.226	1.05e-05
3.327	1.07e-05
3.429	1.08e-05
3.531	1.09e-05
3.632	1.1e-05
3.734	1.11e-05
3.837	1.12e-05
3.939	1.12e-05
4.04	1.13e-05
4.142	1.14e-05
4.244	1.15e-05
4.346	1.16e-05
4.448	1.17e-05
4.551	1.18e-05
4.653	1.19e-05
4.755	1.2e-05
4.858	1.21e-05
4.961	1.22e-05
5.064	1.23e-05
5.165	1.24e-05
5.268	1.25e-05
5.37	1.26e-05
5.473	1.26e-05
5.576	1.27e-05
5.679	1.28e-05
5.781	1.29e-05
5.884	1.29e-05
5.987	1.29e-05
6.09	1.29e-05
6.193	1.3e-05
6.296	1.3e-05
6.4	1.31e-05
6.503	1.32e-05
6.606	1.33e-05
6.709	1.33e-05
6.814	1.34e-05
6.916	1.34e-05
7.02	1.34e-05
7.123	1.34e-05
7.227	1.35e-05
7.33	1.36e-05
7.434	1.37e-05
7.538	1.38e-05
7.642	1.38e-05
7.745	1.38e-05
7.849	1.38e-05
7.953	1.39e-05
8.057	1.39e-05
8.161	1.4e-05
8.265	1.4e-05
8.37	1.41e-05
8.474	1.41e-05
8.578	1.42e-05
8.682	1.42e-05
8.787	1.44e-05
8.891	1.44e-05
8.996	1.45e-05
9.1	1.44e-05
9.205	1.46e-05
9.309	1.46e-05
9.414	1.47e-05
9.519	1.47e-05
9.624	1.48e-05
9.728	1.48e-05
9.833	1.49e-05
9.939	1.49e-05
10.04	1.49e-05
10.15	1.49e-05
10.25	1.5e-05
10.36	1.5e-05
10.46	1.51e-05
10.57	1.51e-05
10.67	1.51e-05
10.78	1.53e-05
10.89	1.52e-05
10.99	1.53e-05
11.1	1.52e-05
11.2	1.54e-05
11.31	1.54e-05
11.41	1.54e-05
11.52	1.54e-05
11.62	1.56e-05
11.73	1.56e-05
11.84	1.56e-05
11.94	1.56e-05
12.05	1.57e-05
12.15	1.57e-05
12.26	1.57e-05
12.37	1.58e-05
12.47	1.59e-05
12.58	1.59e-05
12.69	1.59e-05
12.79	1.6e-05
12.9	1.6e-05
13.01	1.61e-05
13.11	1.62e-05
13.22	1.62e-05
13.32	1.63e-05
13.43	1.64e-05
13.54	1.65e-05
13.65	1.65e-05
13.75	1.66e-05
13.86	1.67e-05
13.97	1.68e-05
14.07	1.67e-05
14.18	1.68e-05
14.29	1.68e-05
14.39	1.68e-05
14.5	1.69e-05
14.61	1.68e-05
14.72	1.69e-05
14.82	1.69e-05
14.93	1.69e-05
15.04	1.7e-05
15.15	1.71e-05
15.25	1.7e-05
15.36	1.71e-05
15.47	1.71e-05
15.58	1.72e-05
15.68	1.72e-05
15.79	1.72e-05
15.9	1.72e-05
16.01	1.72e-05
16.12	1.73e-05
16.22	1.73e-05
16.33	1.73e-05
16.44	1.74e-05
16.55	1.74e-05
16.66	1.74e-05
16.77	1.74e-05
16.87	1.75e-05
16.98	1.76e-05
17.09	1.75e-05
17.2	1.76e-05
17.31	1.76e-05
17.42	1.76e-05
17.53	1.77e-05
17.63	1.77e-05
17.74	1.78e-05
17.85	1.77e-05
17.96	1.77e-05
18.07	1.77e-05
18.18	1.77e-05
18.29	1.78e-05
18.4	1.78e-05
18.51	1.78e-05
18.62	1.78e-05
18.73	1.79e-05
18.84	1.78e-05
18.94	1.79e-05
19.05	1.79e-05
19.16	1.8e-05
19.27	1.79e-05
19.38	1.8e-05
19.49	1.8e-05
19.6	1.8e-05
19.71	1.79e-05
19.82	1.8e-05
19.93	1.79e-05
20.04	1.8e-05
20.15	1.79e-05
20.26	1.8e-05
20.37	1.8e-05
