time_s,strain
5.000000e-01,0.000000e+00
8.275862e-01,2.379328e+00
1.155172e+00,2.388776e+00
1.482759e+00,2.391433e+00
1.810345e+00,2.442181e+00
2.137931e+00,2.542157e+00
2.465517e+00,2.641256e+00
2.793103e+00,2.723397e+00
3.120690e+00,2.798532e+00
3.448276e+00,2.876106e+00
3.775862e+00,2.957338e+00
4.103448e+00,3.039508e+00
4.431034e+00,3.120842e+00
4.758621e+00,3.201410e+00
5.086207e+00,3.281886e+00
5.413793e+00,3.362590e+00
5.741379e+00,3.443446e+00
6.068966e+00,3.524297e+00
6.396552e+00,3.605092e+00
6.724138e+00,3.685858e+00
7.051724e+00,3.766631e+00
7.379310e+00,3.847416e+00
7.706897e+00,3.928207e+00
8.034483e+00,4.008995e+00
8.362069e+00,4.089780e+00
8.689655e+00,4.170565e+00
9.017241e+00,4.251350e+00
9.344828e+00,4.332136e+00
9.672414e+00,4.412921e+00
1.000000e+01,4.493707e+00
