time_s,strain_bounded,strain_near_yield,strain_unbounded
5.000000e-01,0.000000e+00,0.000000e+00,0.000000e+00
8.275862e-01,1.549191e-01,2.840187e-01,4.131183e-01
1.155172e+00,4.249083e-01,7.790740e-01,1.134248e+00
1.482759e+00,5.985747e-01,1.126839e+00,1.714164e+00
1.810345e+00,6.001941e-01,1.154326e+00,1.943504e+00
2.137931e+00,6.001941e-01,1.154326e+00,1.963659e+00
2.465517e+00,6.001941e-01,1.154326e+00,1.963659e+00
2.793103e+00,6.001941e-01,1.154326e+00,1.963666e+00
3.120690e+00,6.001941e-01,1.154326e+00,1.965852e+00
3.448276e+00,6.001941e-01,1.154326e+00,1.977890e+00
3.775862e+00,6.001941e-01,1.154326e+00,2.006056e+00
4.103448e+00,6.001941e-01,1.154326e+00,2.051305e+00
4.431034e+00,6.001941e-01,1.154326e+00,2.109972e+00
4.758621e+00,6.001941e-01,1.154326e+00,2.176805e+00
5.086207e+00,6.001941e-01,1.154326e+00,2.247408e+00
5.413793e+00,6.001941e-01,1.154326e+00,2.318996e+00
5.741379e+00,6.001941e-01,1.154326e+00,2.389973e+00
6.068966e+00,6.001941e-01,1.154326e+00,2.459274e+00
6.396552e+00,6.001941e-01,1.154326e+00,2.526314e+00
6.724138e+00,6.001941e-01,1.154326e+00,2.590976e+00
7.051724e+00,6.001941e-01,1.154326e+00,2.653482e+00
7.379310e+00,6.001941e-01,1.154326e+00,2.714234e+00
7.706897e+00,6.001941e-01,1.154326e+00,2.773683e+00
8.034483e+00,6.001941e-01,1.154326e+00,2.832252e+00
8.362069e+00,6.001941e-01,1.154326e+00,2.890291e+00
8.689655e+00,6.001941e-01,1.154326e+00,2.948075e+00
9.017241e+00,6.001941e-01,1.154326e+00,3.005800e+00
9.344828e+00,6.001941e-01,1.154326e+00,3.063599e+00
9.672414e+00,6.001941e-01,1.154326e+00,3.121556e+00
1.000000e+01,6.001941e-01,1.154326e+00,3.179713e+00
