Time	Creep Compliance
0.2011	9.78e-06
0.3012	1.07e-05
0.4013	1.15e-05
0.5024	1.22e-05
0.602	1.28e-05
0.7031	1.32e-05
0.8032	1.38e-05
0.9042	1.41e-05
1.005	1.45e-05
1.106	1.5e-05
1.207	1.53e-05
1.308	1.57e-05
1.41	1.6e-05
1.511	1.65e-05
1.613	1.67e-05
1.714	1.7e-05
1.816	1.73e-05
1.918	1.76e-05
2.02	1.78e-05
2.122	1.81e-05
2.224	1.84e-05
2.326	1.87e-05
2.428	1.9e-05
2.531	1.92e-05
2.633	1.96e-05
2.736	1.97e-05
2.839	2e-05
2.942	2.01e-05
3.045	2.04e-05
3.148	2.05e-05
3.251	2.08e-05
3.354	2.1e-05
3.458	2.15e-05
3.561	2.16e-05
3.665	2.19e-05
3.768	2.21e-05
3.872	2.23e-05
3.976	2.25e-05
4.08	2.28e-05
4.184	2.32e-05
4.288	2.35e-05
4.393	2.37e-05
4.497	2.39e-05
4.601	2.42e-05
4.706	2.44e-05
4.811	2.48e-05
4.916	2.49e-05
5.021	2.52e-05
5.126	2.55e-05
5.231	2.59e-05
5.336	2.63e-05
5.441	2.66e-05
5.547	2.67e-05
5.652	2.69e-05
5.758	2.73e-05
5.864	2.75e-05
5.97	2.77e-05
6.076	2.8e-05
6.182	2.84e-05
6.288	2.84e-05
6.394	2.86e-05
6.501	2.89e-05
6.607	2.9e-05
6.714	2.92e-05
6.821	2.94e-05
6.928	2.98e-05
7.035	2.99e-05
7.142	3.01e-05
7.249	3.04e-05
7.356	3.03e-05
7.464	3.07e-05
7.571	3.09e-05
7.679	3.09e-05
7.786	3.14e-05
7.894	3.14e-05
8.002	3.16e-05
8.11	3.21e-05
8.218	3.2e-05
8.327	3.24e-05
8.435	3.25e-05
8.543	3.26e-05
8.652	3.3e-05
8.761	3.31e-05
8.87	3.33e-05
8.979	3.35e-05
9.088	3.38e-05
9.197	3.39e-05
9.306	3.43e-05
9.415	3.44e-05
9.525	3.47e-05
9.634	3.48e-05
9.744	3.5e-05
9.854	3.52e-05
9.964	3.55e-05
10.07	3.56e-05
10.18	3.59e-05
10.29	3.61e-05
10.4	3.62e-05
10.52	3.65e-05
10.63	3.67e-05
10.74	3.67e-05
10.85	3.72e-05
10.96	3.73e-05
11.07	3.75e-05
11.18	3.77e-05
11.29	3.8e-05
11.4	3.83e-05
11.51	3.83e-05
11.63	3.88e-05
11.74	3.9e-05
11.85	3.9e-05
11.96	3.95e-05
12.07	3.95e-05
12.19	3.98e-05
12.3	3.99e-05
12.41	4.01e-05
12.52	4.05e-05
12.64	4.06e-05
12.75	4.06e-05
12.86	4.1e-05
12.97	4.11e-05
13.09	4.11e-05
13.2	4.14e-05
13.31	4.18e-05
13.43	4.18e-05
13.54	4.19e-05
13.65	4.23e-05
13.77	4.24e-05
13.88	4.25e-05
14.0	4.28e-05
14.11	4.31e-05
14.22	4.32e-05
14.34	4.33e-05
14.45	4.34e-05
14.57	4.38e-05
14.68	4.41e-05
14.8	4.41e-05
14.91	4.41e-05
15.03	4.42e-05
15.14	4.45e-05
15.26	4.47e-05
15.37	4.48e-05
15.49	4.48e-05
15.6	4.49e-05
15.72	4.52e-05
15.83	4.56e-05
15.95	4.58e-05
16.07	4.59e-05
16.18	4.6e-05
16.3	4.61e-05
16.41	4.63e-05
16.53	4.66e-05
16.65	4.69e-05
16.76	4.71e-05
16.88	4.72e-05
17.0	4.74e-05
17.12	4.76e-05
17.23	4.78e-05
17.35	4.79e-05
17.47	4.81e-05
17.59	4.81e-05
17.7	4.82e-05
17.82	4.85e-05
17.94	4.86e-05
18.06	4.88e-05
18.17	4.9e-05
18.29	4.92e-05
18.41	4.93e-05
18.53	4.95e-05
18.65	4.97e-05
18.77	4.99e-05
18.89	5.02e-05
19.01	5.04e-05
19.12	5.05e-05
19.24	5.08e-05
19.36	5.1e-05
19.48	5.11e-05
19.6	5.13e-05
19.72	5.14e-05
19.84	5.16e-05
19.96	5.17e-05
20.08	5.19e-05
20.2	5.21e-05
20.32	5.22e-05
20.44	5.25e-05
20.56	5.26e-05
20.68	5.27e-05
20.8	5.29e-05
20.93	5.28e-05
21.05	5.29e-05
21.17	5.3e-05
21.29	5.32e-05
21.41	5.32e-05
21.53	5.33e-05
21.65	5.33e-05
21.78	5.34e-05
21.9	5.37e-05
22.02	5.37e-05
22.14	5.38e-05
22.26	5.38e-05
22.39	5.42e-05
22.51	5.44e-05
22.63	5.45e-05
22.75	5.46e-05
22.88	5.5e-05
23.0	5.51e-05
23.12	5.52e-05
23.25	5.53e-05
23.37	5.57e-05
23.49	5.56e-05
23.62	5.58e-05
23.74	5.6e-05
23.86	5.62e-05
23.99	5.62e-05
24.11	5.65e-05
24.24	5.66e-05
24.36	5.67e-05
24.49	5.71e-05
24.61	5.71e-05
24.73	5.74e-05
24.86	5.76e-05
24.98	5.77e-05
25.11	5.79e-05
25.23	5.79e-05
25.36	5.82e-05
25.49	5.83e-05
25.61	5.83e-05
25.74	5.85e-05
25.86	5.85e-05
25.99	5.88e-05
26.11	5.86e-05
26.24	5.9e-05
26.37	5.89e-05
26.49	5.92e-05
26.62	5.93e-05
26.75	5.97e-05
26.87	5.98e-05
27.0	6.03e-05
27.13	6.02e-05
27.26	6.07e-05
27.38	6.06e-05
27.51	6.09e-05
27.64	6.09e-05
27.77	6.12e-05
27.89	6.12e-05
28.02	6.15e-05
28.15	6.19e-05
28.28	6.18e-05
28.41	6.21e-05
28.54	6.21e-05
28.66	6.22e-05
28.79	6.23e-05
28.92	6.23e-05
29.05	6.26e-05
29.18	6.27e-05
29.31	6.27e-05
29.44	6.31e-05
29.57	6.32e-05
29.7	6.31e-05
29.83	6.33e-05
29.96	6.35e-05
30.09	6.35e-05
30.22	6.37e-05
30.35	6.39e-05
30.48	6.39e-05
30.61	6.41e-05
30.74	6.43e-05
30.87	6.44e-05
31.0	6.43e-05
31.13	6.45e-05
31.27	6.47e-05
31.4	6.49e-05
31.53	6.5e-05
31.66	6.5e-05
31.79	6.52e-05
31.92	6.54e-05
32.06	6.55e-05
32.19	6.57e-05
32.32	6.57e-05
32.45	6.58e-05
32.59	6.6e-05
32.72	6.62e-05
32.85	6.64e-05
32.98	6.67e-05
33.12	6.66e-05
33.25	6.66e-05
33.38	6.66e-05
33.52	6.68e-05
33.65	6.7e-05
33.79	6.73e-05
33.92	6.75e-05
34.05	6.78e-05
34.19	6.8e-05
34.32	6.81e-05
34.46	6.83e-05
34.59	6.85e-05
34.73	6.87e-05
34.86	6.87e-05
35.0	6.89e-05
35.13	6.92e-05
35.27	6.94e-05
35.4	6.95e-05
35.54	6.98e-05
35.67	7.01e-05
35.81	7.02e-05
35.94	7.03e-05
36.08	7.05e-05
36.22	7.06e-05
36.35	7.06e-05
36.49	7.08e-05
36.63	7.09e-05
36.76	7.1e-05
36.9	7.13e-05
37.04	7.14e-05
37.18	7.15e-05
37.31	7.18e-05
37.45	7.18e-05
37.59	7.17e-05
37.73	7.18e-05
37.86	7.2e-05
38.0	7.22e-05
38.14	7.25e-05
38.28	7.25e-05
38.42	7.25e-05
38.56	7.28e-05
38.69	7.3e-05
38.83	7.31e-05
38.97	7.33e-05
39.11	7.33e-05
39.25	7.35e-05
39.39	7.38e-05
39.53	7.39e-05
39.67	7.41e-05
39.81	7.44e-05
39.95	7.47e-05
40.09	7.47e-05
40.23	7.49e-05
40.37	7.52e-05
40.51	7.51e-05
40.65	7.53e-05
40.79	7.57e-05
40.93	7.56e-05
41.07	7.58e-05
41.22	7.61e-05
41.36	7.6e-05
41.5	7.63e-05
41.64	7.65e-05
41.78	7.66e-05
41.92	7.69e-05
42.07	7.69e-05
42.21	7.73e-05
42.35	7.75e-05
42.49	7.76e-05
42.64	7.79e-05
42.78	7.8e-05
42.92	7.85e-05
43.07	7.86e-05
43.21	7.89e-05
43.35	7.89e-05
43.5	7.95e-05
43.64	7.95e-05
43.78	7.98e-05
43.93	7.99e-05
44.07	8.02e-05
44.22	8.01e-05
44.36	8.03e-05
44.5	8.04e-05
44.65	8.05e-05
44.79	8.08e-05
44.94	8.08e-05
45.08	8.11e-05
45.23	8.13e-05
45.38	8.12e-05
45.52	8.17e-05
45.67	8.16e-05
45.81	8.19e-05
45.96	8.22e-05
46.1	8.22e-05
46.25	8.24e-05
46.4	8.27e-05
46.54	8.26e-05
46.69	8.29e-05
46.84	8.33e-05
46.99	8.31e-05
47.13	8.33e-05
47.28	8.34e-05
47.43	8.36e-05
47.57	8.34e-05
47.72	8.36e-05
47.87	8.41e-05
48.02	8.39e-05
48.17	8.41e-05
48.32	8.41e-05
48.46	8.44e-05
48.61	8.47e-05
48.76	8.47e-05
48.91	8.48e-05
49.06	8.49e-05
49.21	8.5e-05
49.36	8.52e-05
49.51	8.54e-05
49.66	8.53e-05
49.81	8.56e-05
49.96	8.55e-05
50.11	8.58e-05
50.26	8.58e-05
50.41	8.59e-05
50.56	8.6e-05
50.71	8.64e-05
50.86	8.66e-05
51.01	8.7e-05
51.16	8.71e-05
51.32	8.73e-05
51.47	8.75e-05
51.62	8.77e-05
51.77	8.77e-05
51.92	8.78e-05
52.08	8.79e-05
52.23	8.78e-05
52.38	8.79e-05
52.53	8.8e-05
52.69	8.81e-05
52.84	8.82e-05
52.99	8.82e-05
53.14	8.84e-05
53.3	8.84e-05
53.45	8.85e-05
53.6	8.89e-05
53.76	8.91e-05
53.91	8.95e-05
54.07	8.97e-05
54.22	9e-05
54.38	9.01e-05
54.53	9.02e-05
54.69	9.04e-05
54.84	9.07e-05
55.0	9.09e-05
55.15	9.1e-05
55.31	9.13e-05
55.46	9.15e-05
55.62	9.19e-05
55.77	9.22e-05
55.93	9.23e-05
56.09	9.24e-05
56.24	9.27e-05
56.4	9.3e-05
56.56	9.29e-05
56.71	9.28e-05
56.87	9.32e-05
57.03	9.34e-05
57.18	9.34e-05
57.34	9.35e-05
57.5	9.37e-05
57.66	9.37e-05
57.82	9.41e-05
57.97	9.43e-05
58.13	9.43e-05
58.29	9.48e-05
58.45	9.49e-05
58.61	9.53e-05
58.77	9.56e-05
58.93	9.57e-05
59.08	9.6e-05
59.24	9.6e-05
59.4	9.63e-05
59.56	9.63e-05
59.72	9.66e-05
59.88	9.66e-05
60.04	9.68e-05
60.2	9.69e-05
60.36	9.71e-05
60.52	9.72e-05
60.69	9.73e-05
60.85	9.72e-05
61.01	9.75e-05
61.17	9.74e-05
61.33	9.76e-05
61.49	9.75e-05
61.65	9.78e-05
61.82	9.79e-05
61.98	9.79e-05
62.14	9.81e-05
62.3	9.81e-05
62.47	9.84e-05
62.63	9.87e-05
62.79	9.87e-05
62.95	9.9e-05
63.12	9.92e-05
63.28	9.92e-05
63.45	9.94e-05
63.61	9.96e-05
63.77	9.96e-05
63.94	9.98e-05
64.1	0.0001001124602
64.27	0.0001001754429
64.43	0.0001002262574
64.6	0.0001004212525
64.76	0.0001006139081
64.93	0.0001006685085
65.09	0.0001006498286
65.26	0.0001007813116
65.42	0.0001010323956
65.59	0.0001012583532
65.75	0.0001013958835
65.92	0.0001014943805
66.09	0.0001017040531
66.25	0.0001019125076
66.42	0.0001022697223
66.59	0.0001024697117
66.75	0.0001027350931
66.92	0.0001028838207
67.09	0.0001030576445
67.25	0.0001032957156
67.42	0.0001034733959
67.59	0.0001037730394
67.76	0.0001040634782
67.93	0.0001042641931
68.09	0.0001044604578
68.26	0.0001045411164
68.43	0.0001047333387
68.6	0.0001049803915
68.77	0.0001051445921
68.94	0.0001052990746
69.11	0.0001054059144
69.28	0.0001056227753
69.45	0.0001058392858
69.62	0.0001061068146
69.79	0.0001062012945
69.96	0.0001063569389
70.13	0.0001065429632
70.3	0.0001067636283
70.47	0.0001068977685
70.64	0.000107009688
70.81	0.0001071151835
70.98	0.0001072663979
71.15	0.0001073124108
71.32	0.0001074780075
71.5	0.0001078353529
71.67	0.0001081564538
71.84	0.0001080763846
72.01	0.0001081149561
72.18	0.0001082995822
72.36	0.0001086196668
72.53	0.0001089101946
72.7	0.0001090861995
72.88	0.0001091122622
73.05	0.0001092660928
73.22	0.0001095488784
73.4	0.0001095264549
73.57	0.0001097466422
73.74	0.0001102365374
73.92	0.0001102574684
74.09	0.0001103699939
74.27	0.0001106886038
74.44	0.0001108682124
74.62	0.0001109539456
74.79	0.0001111409283
74.97	0.0001114243261
75.14	0.0001115504288
75.32	0.0001118859483
75.49	0.0001118340298
75.67	0.0001121690089
75.84	0.0001123780157
76.02	0.0001122449884
76.2	0.000112571608
76.37	0.0001124117843
76.55	0.0001127585138
76.73	0.000112596101
76.9	0.0001129613627
77.08	0.0001129166635
77.26	0.0001132686276
77.44	0.0001131146459
77.61	0.0001135151061
77.79	0.000113614902
77.97	0.0001139585531
78.15	0.0001141072972
78.33	0.0001144395983
78.51	0.0001146351364
78.69	0.000114789408
78.86	0.0001152366996
79.04	0.0001152676833
79.22	0.000115549353
79.4	0.0001159185528
79.58	0.0001159486349
79.76	0.0001162844388
79.94	0.0001165684225
80.12	0.0001165123046
80.3	0.0001168080672
80.48	0.0001171376801
80.67	0.0001170606919
80.85	0.0001173689907
81.03	0.0001175452895
81.21	0.0001177674776
81.39	0.0001178564727
81.57	0.0001178196513
81.75	0.0001181894797
81.94	0.0001183218969
82.12	0.0001184802364
82.3	0.0001183677136
82.48	0.0001186608199
82.67	0.000118954162
82.85	0.0001190935986
83.03	0.000119296231
83.22	0.0001193765594
83.4	0.0001194548371
83.59	0.0001194024029
83.77	0.0001195994975
83.95	0.0001195781146
84.14	0.0001196416532
84.32	0.0001197450689
84.51	0.0001198215053
84.69	0.000119952564
84.88	0.0001199368179
85.06	0.0001200150991
85.25	0.0001201258117
85.43	0.0001201991396
85.62	0.0001202131525
85.81	0.0001202577188
85.99	0.0001203424513
86.18	0.0001204863293
86.37	0.0001206970156
86.55	0.0001206951112
86.74	0.0001208701748
86.93	0.0001208275409
87.11	0.0001209987934
87.3	0.0001209927099
87.49	0.0001212229195
87.68	0.0001214353616
87.86	0.0001217473701
88.05	0.0001220623723
88.24	0.0001222849099
88.43	0.0001225725743
88.62	0.0001227412391
88.81	0.0001231334301
89.0	0.000123494554
89.19	0.0001237192967
89.38	0.0001238538555
89.57	0.0001240621647
89.76	0.0001245406285
89.95	0.0001246202163
90.14	0.0001246101466
90.33	0.0001249670283
90.52	0.0001251218252
90.71	0.0001251862139
90.9	0.0001253636558
91.09	0.000125613888
91.28	0.0001257309384
91.48	0.0001259385298
91.67	0.0001262799306
91.86	0.0001263823792
92.05	0.0001267208166
92.24	0.0001268805604
92.44	0.0001270941863
92.63	0.0001274179547
92.82	0.0001274820125
93.02	0.0001279626477
93.21	0.000128071222
93.4	0.0001284708799
93.6	0.0001286783127
93.79	0.0001289629012
93.99	0.0001290828197
94.18	0.0001294545886
94.38	0.0001295781362
94.57	0.0001299888908
94.77	0.0001299010307
94.96	0.0001303509089
95.16	0.0001304494878
95.35	0.0001308392726
