Shear Rate;Shear Stress;Viscosity;Speed;Torque
[1/s];[Pa];[Pa·s];[1/min];[µNm]
0,1;0,0364;0,364;0,0167;0,149
0,126;0,0463;0,368;0,0211;0,189
0,158;0,0619;0,391;0,0265;0,253
0,2;0,0788;0,395;0,0334;0,322
0,251;0,0994;0,396;0,042;0,406
0,316;0,125;0,395;0,0529;0,511
0,398;0,155;0,39;0,0666;0,634
0,501;0,196;0,392;0,0839;0,802
0,631;0,247;0,392;0,106;1,01
0,794;0,314;0,395;0,133;1,28
1,1;0,427;0,388;0,184;1,74
1,37;0,538;0,392;0,23;2,2
1,71;0,667;0,39;0,286;2,72
2,13;0,833;0,39;0,357;3,4
2,66;1,04;0,39;0,445;4,24
3,32;1,29;0,388;0,555;5,26
4,14;1,59;0,385;0,692;6,51
5,16;1,98;0,383;0,863;8,08
6,43;2,45;0,38;1,08;9,99
8,02;3,02;0,376;1,34;12,3
10;3,73;0,373;1,67;15,2
11;4,07;0,37;1,84;16,6
13,8;5,05;0,366;2,31;20,6
17,3;6,24;0,362;2,89;25,5
21,6;7,72;0,357;3,62;31,5
27,1;9,52;0,351;4,54;38,9
34;11,7;0,346;5,68;48
42,5;14,5;0,341;7,12;59,3
53,3;17,9;0,336;8,92;73,1
66,8;22,1;0,33;11,2;90,2
83,7;26,9;0,322;14;110
105;32,5;0,31;17,6;133
131;39,6;0,301;22;162
165;48;0,292;27,6;196
206;58,3;0,283;34,5;238
258;70,2;0,272;43,3;287
324;84,3;0,26;54,2;344
406;101;0,248;67,9;411
508;120;0,237;85,1;491
637;142;0,223;107;582
798;169;0,211;134;689
1000;198;0,198;167;809
1000;72,8;0,0728;167;298
