Angular Frequency,Storage Modulus,Loss Modulus
100.0,178.11,228.46
67.2,162.94,150.62
45.2,141.52,111.45
30.4,126.71,89.679
20.4,114.69,71.74
13.7,102.99,58.214
9.24,93.067,47.552
6.21,84.661,39.135
4.18,77.922,32.367
2.81,72.247,26.874
1.89,67.459,22.624
1.27,63.488,19.183
0.853,60.003,16.489
0.574,57.062,14.478
0.386,54.359,12.787
0.259,51.938,11.575
0.174,49.803,10.606
0.117,47.783,10.035
0.0788,45.808,9.1633
0.053,44.263,9.4928
0.0356,42.635,9.5032
0.024,40.681,9.5656
0.0161,39.425,9.238
0.0108,37.572,10.513
0.00728,36.24,9.943
