Angular Frequency	Storage Modulus	Loss Modulus
0.10078333	8.276715041	27.79592048
0.147251525	12.40431387	39.08213171
0.228303587	18.79966975	55.90150607
0.325365944	26.57922404	75.61356229
0.475382499	39.61079143	100.930322
0.694567224	56.70422049	148.1410832
1.014811505	84.130539	183.0923759
1.482710894	116.9769468	251.8468325
2.166344769	165.3187694	332.0824472
3.165181882	229.7277616	416.6810306
4.633204891	319.7723981	563.3665848
6.694563404	437.6175359	749.0295159
9.894110222	596.4368666	898.4744074
14.56156975	816.9528657	1078.037908
21.91219557	1105.076786	1328.516217
31.09985081	1451.896696	1583.802186
46.96227955	1832.965951	1863.699129
65.35003841	2342.78117	2036.857689
99.41878208	2930.4823	2216.504857
