Angular Frequency,Storage Modulus,Loss Modulus
4.17687578094361e-08,21.4934728375148,1317.03258229295
6.10903600614201e-08,37.6619089365607,1906.91038934893
7.47333323269197e-08,50.151976351693,2274.11264919674
8.97886222298082e-08,71.7730138409554,2793.79288054436
1.09693863592478e-07,107.069148846423,3335.04821981049
1.31841521248832e-07,135.218982968059,4074.18708972824
1.61249979480943e-07,193.413120948302,4850.57676925535
1.93500163729428e-07,262.658158199341,5929.88171070982
2.35841806723829e-07,387.973996937836,7089.84685470037
2.84141209588001e-07,535.71537804283,8657.56961168718
3.46632608952232e-07,750.459633710011,10369.9667975375
4.17119295675185e-07,1047.54565497796,12610.6162081994
5.089795270691e-07,1551.10895572307,15063.4650911499
6.12040165452553e-07,2136.4069221853,18297.3594386387
7.47015211064779e-07,3094.59353867224,21745.0390811832
8.98454504717258e-07,4380.3123901523,26339.0925661522
1.09693863592478e-06,6230.91617134358,31104.1616174066
1.31898349490749e-06,8839.98193737913,37353.9906944738
1.61030591753758e-06,12492.4937987886,43604.0338414603
1.93585406092305e-06,17219.2558214081,51305.4154504945
2.36280582178199e-06,23701.961426485,58734.7245850253
2.84141209588001e-06,31851.9984092867,67157.3583690663
3.46851996679417e-06,41796.3196515188,74194.1651654005
3.97638736124383e-06,48736.2386050145,77859.8001893196
4.17062467433267e-06,53743.0365720275,81594.4364537455
5.09198914796285e-06,67053.4891588742,86532.5318586522
5.83733664630595e-06,75475.6746998638,88200.6883258918
6.12153821936388e-06,81797.1168156254,91120.4134621029
7.47344292655556e-06,96345.8374611919,92459.8668215897
8.56513837611921e-06,105022.777202066,91676.1148094467
8.98539747080134e-06,111435.2220413,93700.6903768053
1.09693863592478e-05,119473.101542031,90041.3829847065
1.09693863592478e-05,125367.64350379,91722.024295083
1.2573336836253e-05,132809.110807687,89071.6797296329
1.31886983842366e-05,139553.224552876,90200.5564351093
1.6100865298104e-05,145027.047710048,85917.6630865633
1.6100865298104e-05,151134.744179465,86409.5581042344
1.84583901308939e-05,157017.548352841,83073.7938277928
1.93582564680209e-05,163321.394682566,84088.9639845756
2.36324459723636e-05,166842.591743764,78886.023808954
2.36324459723636e-05,173237.226973489,79600.0914096066
2.70911270921542e-05,177716.402888804,76263.8365289353
2.84141209588001e-05,183924.633007516,76878.9998806232
3.46884904838495e-05,191929.237644994,73289.0783328856
3.46884904838495e-05,185690.369170864,72220.0264944803
3.97638736124383e-05,195597.344059723,69985.8671168726
4.17062467433267e-05,202111.297786974,70546.0181117283
5.09155037250848e-05,208752.047249347,66926.4162793091
5.09155037250848e-05,202201.645264026,65895.0763922585
