Angular Frequency	Storage Modulus	Loss Modulus
300	3.37E+06	6.08E+06
215	2.59E+06	4.78E+06
154	2.03E+06	3.74E+06
111	1.64E+06	2.93E+06
79.3	1.34E+06	2.30E+06
56.9	1.12E+06	1.80E+06
40.8	9.49E+05	1.42E+06
29.3	8.12E+05	1.13E+06
21	7.01E+05	8.98E+05
15	6.10E+05	7.17E+05
10.8	5.34E+05	5.75E+05
7.74	4.72E+05	4.64E+05
5.55	4.20E+05	3.76E+05
3.98	3.77E+05	3.06E+05
2.85	3.41E+05	2.51E+05
2.05	3.11E+05	2.06E+05
1.47	2.85E+05	1.70E+05
1.05	2.63E+05	1.42E+05
0.754	2.44E+05	1.19E+05
0.541	2.28E+05	1.01E+05
0.388	2.13E+05	87316
0.278	2.01E+05	76928
0.199	1.90E+05	68096
0.143	1.79E+05	61253
0.103	1.69E+05	56788
0.0735	1.59E+05	53599
0.0527	1.49E+05	50294
0.0378	1.39E+05	47966
0.0271	1.30E+05	47075
0.0194	1.21E+05	45962
0.0139	1.12E+05	44047
0.01	1.02E+05	42940
