Shear Rate;Shear Stress;Viscosity;Speed;Torque
[1/s];[Pa];[Pa·s];[1/min];[µNm]
0,1;0,104;1,04;0,0167;0,423
0,126;0,135;1,08;0,0211;0,554
0,158;0,173;1,09;0,0265;0,707
0,2;0,22;1,1;0,0334;0,901
0,251;0,28;1,11;0,0421;1,14
0,316;0,355;1,12;0,0529;1,45
0,398;0,446;1,12;0,0666;1,82
0,501;0,564;1,12;0,0839;2,3
0,631;0,709;1,12;0,106;2,9
0,794;0,894;1,13;0,133;3,65
1;1,12;1,12;0,167;4,58
1,1;1,23;1,12;0,184;5,03
1,37;1,53;1,12;0,23;6,27
1,71;1,9;1,11;0,286;7,76
2,13;2,34;1,1;0,357;9,57
2,66;2,9;1,09;0,445;11,8
3,32;3,57;1,08;0,555;14,6
4,14;4,38;1,06;0,692;17,9
5,16;5,39;1,05;0,863;22
6,43;6,61;1,03;1,08;27
8,02;8,1;1,01;1,34;33,1
10;9,92;0,992;1,67;40,5
11;10,8;0,984;1,84;44,2
13,8;13,3;0,963;2,31;54,2
17,3;16,2;0,941;2,89;66,4
21,6;19,9;0,92;3,62;81,4
27,1;24,2;0,894;4,54;99
34;29,6;0,872;5,68;121
42,5;35,9;0,843;7,12;147
53,3;43,1;0,809;8,92;176
66,8;51,6;0,772;11,2;211
83,7;61,3;0,732;14;250
105;73;0,697;17,6;298
131;88,4;0,673;22;361
165;104;0,634;27,6;427
206;124;0,599;34,5;505
258;146;0,563;43,3;595
324;171;0,527;54,2;698
406;200;0,492;67,9;815
508;233;0,459;85,1;954
637;271;0,425;107;1110
798;315;0,394;134;1290
1000;364;0,364;167;1490
