Time	Relaxation Modulus
0.0139	33600.0
0.0149	33243.0
0.0159	31100.0
0.0169	30900.0
0.018	31700.0
0.019	32300.0
0.02	32600.0
0.021	32300.0
0.022	31741.0
0.0231	31300.0
0.0241	31100.0
0.0251	30784.0
0.0261	30500.0
0.0272	30500.0
0.0282	30400.0
0.0292	30200.0
0.0302	30200.0
0.0313	30100.0
0.0323	29900.0
0.0333	29800.0
0.0343	29700.0
0.0354	29500.0
0.0364	29300.0
0.0374	29200.0
0.0384	29100.0
0.0395	29000.0
0.0405	29100.0
0.042	29054.0
0.0441	28800.0
0.0461	28600.0
0.0482	28400.0
0.0502	28300.0
0.0523	28200.0
0.0543	28100.0
0.0564	27900.0
0.0584	27800.0
0.0604	27600.0
0.0625	27700.0
0.0645	27525.0
0.0666	27400.0
0.0686	27258.0
0.0707	27100.0
0.0727	27200.0
0.0748	27000.0
0.0768	26900.0
0.0789	26800.0
0.0809	26700.0
0.083	26800.0
0.085	26600.0
0.0871	26500.0
0.0891	26500.0
0.0912	26300.0
0.0932	26400.0
0.0953	26300.0
0.0973	26198.0
0.0994	26100.0
0.101	26000.0
0.104	26100.0
0.106	26000.0
0.108	25900.0
0.11	25800.0
0.112	25700.0
0.114	25800.0
0.116	25700.0
0.118	25700.0
0.12	25500.0
0.122	25500.0
0.125	25500.0
0.129	25300.0
0.133	25300.0
0.137	25200.0
0.141	25000.0
0.1454	25048.0
0.15	24900.0
0.154	24900.0
0.1577	24768.0
0.162	24600.0
0.166	24700.0
0.17	24500.0
0.174	24500.0
0.178	24500.0
0.182	24300.0
0.186	24300.0
0.191	24200.0
0.1946	24205.0
0.199	24200.0
0.203	24000.0
0.207	24100.0
0.211	23900.0
0.215	24000.0
0.219	23900.0
0.223	23800.0
0.227	23800.0
0.232	23700.0
0.236	23600.0
0.24	23600.0
0.244	23500.0
0.2478	23552.0
0.252	23400.0
0.256	23400.0
0.26	23400.0
0.2642	23334.0
0.268	23300.0
0.272	23200.0
0.277	23300.0
0.281	23200.0
0.2847	23123.0
0.291	23100.0
0.299	23047.0
0.307	22900.0
0.3154	22836.0
0.324	22800.0
0.332	22700.0
0.34	22700.0
0.348	22600.0
0.356	22500.0
0.365	22500.0
0.373	22400.0
0.381	22400.0
0.389	22300.0
0.397	22200.0
0.406	22200.0
0.4137	22168.0
0.422	22100.0
0.43	22000.0
0.438	22000.0
0.447	21900.0
0.455	21900.0
0.463	21800.0
0.471	21800.0
0.479	21800.0
0.488	21700.0
0.496	21700.0
0.504	21600.0
0.512	21600.0
0.52	21600.0
0.5284	21492.0
0.537	21400.0
0.545	21500.0
0.553	21400.0
0.561	21300.0
0.569	21300.0
0.578	21300.0
0.586	21300.0
0.594	21200.0
0.602	21100.0
0.6103	21137.0
0.623	21100.0
0.639	21017.0
0.655	21000.0
0.672	20900.0
0.688	20800.0
0.705	20800.0
0.7209	20705.0
0.737	20700.0
0.754	20600.0
0.7701	20547.0
0.787	20500.0
0.803	20400.0
0.819	20400.0
0.836	20300.0
0.852	20300.0
0.868	20300.0
0.885	20200.0
0.901	20200.0
0.918	20100.0
0.934	20100.0
0.95	20000.0
0.967	20000.0
0.983	19900.0
1.0	19900.0
1.02	19800.0
1.03	19800.0
1.05	19800.0
1.07	19800.0
1.08	19700.0
1.1	19700.0
1.11	19600.0
1.13	19600.0
1.15	19500.0
1.1633	19496.0
1.18	19500.0
1.2	19400.0
1.21	19400.0
1.23	19400.0
1.25	19300.0
1.26	19300.0
1.29	19300.0
1.32	19200.0
1.35	19100.0
1.38	19100.0
1.42	19000.0
1.45	19000.0
1.48	18900.0
1.52	18900.0
1.55	18800.0
1.58	18800.0
1.61	18700.0
1.65	18600.0
1.6794	18592.0
1.71	18600.0
1.74	18500.0
1.78	18500.0
1.81	18400.0
1.8432	18365.0
1.88	18300.0
1.91	18300.0
1.94	18200.0
1.97	18200.0
2.01	18200.0
2.04	18100.0
2.07	18100.0
2.1054	18037.0
2.14	18000.0
2.17	18000.0
2.2037	17926.0
2.24	17900.0
2.27	17900.0
2.3	17800.0
2.33	17800.0
2.3675	17754.0
