Angular Frequency,Storage Modulus,Loss Modulus
4.18118175554183e-08,3461.39081098277,22800.7611716404
6.11533386014621e-08,6725.24622311792,32506.8118861296
8.98811860374978e-08,13032.3472688804,45345.8332713707
1.31977437725946e-07,24488.4649542176,61063.6953351605
1.61465610267124e-07,32227.3219077557,68963.6814774972
1.93699644593468e-07,43090.6244755297,77512.7657814248
2.36157185084569e-07,54583.1306358807,84548.5552873785
2.84434133030057e-07,69292.5180274862,90902.1423031553
3.47096141798715e-07,83433.5932473239,95165.2894187811
4.17549307288123e-07,101402.544128243,97910.205585081
5.0966015757786e-07,114931.270878867,98608.5545424793
6.12671122546742e-07,132724.455437228,97426.8908759827
7.48014153686472e-07,144567.945693555,95419.4351779113
8.99380728641039e-07,161310.181860835,91315.298425449
1.09840551202125e-06,170499.01137512,88565.697931693
1.09840551202125e-06,170580.993878065,88582.0944322821
1.32034324552552e-06,184821.103838908,83582.2630798757
1.6124592916472e-06,192453.925663843,80731.4499502503
1.6124592916472e-06,192650.683670911,80805.234202901
1.93784974833377e-06,204886.459665023,75676.9494267045
2.36596547289377e-06,211695.21910508,73025.0946734021
2.36596547289377e-06,211564.047100368,72980.0042967822
2.84434133030057e-06,222472.878757375,67949.3708601049
3.47315822901119e-06,228403.25320531,65648.3090583935
3.47315822901119e-06,228288.477701187,65539.2723294764
4.17492420461517e-06,237759.655282243,60520.3560573515
5.09879838680265e-06,243004.336979849,58574.8587042822
5.09879838680265e-06,242856.768474548,58606.8318804308
6.12784896199954e-06,251089.786775116,54102.4044444377
7.48343675340078e-06,255367.298423985,52156.448548703
7.48343675340078e-06,255596.849432231,52313.8549543577
8.99466058880948e-06,262642.567402273,48280.800819363
1.09840551202125e-05,266730.073332189,46904.6494100338
1.09840551202125e-05,266484.125823353,46817.7479569119
1.16552535806354e-05,268837.656403714,46041.7014406662
1.32022947187231e-05,273010.447452286,43460.9059058873
1.41256369636384e-05,274576.409250817,43875.7546521603
1.61223961054479e-05,276469.594682078,42174.2589900961
1.61223961054479e-05,276764.73169268,42268.5388684831
1.71062564939399e-05,278539.156268297,41622.129280134
1.93782130492047e-05,282302.562504628,39380.0147734199
2.07359628964832e-05,283843.861080303,39686.3467550365
2.36640483509858e-05,285561.4542587,38242.3781488446
2.36640483509858e-05,285881.186020186,38278.4504501405
2.51082584675472e-05,287457.462133395,37770.1622332067
2.84434133030056e-05,290744.979116781,35819.8562630133
3.04416001788346e-05,292262.518256247,36146.5266029701
3.4734877506648e-05,293997.45381176,34774.5182742629
3.4734877506648e-05,294104.031065589,34924.5462546526
3.68539017786658e-05,295659.945525847,34540.5396654398
4.17492420461517e-05,298704.081019836,32843.5731027917
4.46787208139596e-05,300352.050974696,33580.2219514965
5.09835902459784e-05,301933.360096855,32061.7172518065
5.09835902459784e-05,301589.033584485,32101.0688532201
5.40932320424838e-05,303340.299585308,31731.9891404065
6.12784896199954e-05,306031.755641649,30382.5657856571
6.409007571302e-05,307981.292934798,30735.6946265078
6.55786302861582e-05,307566.805529801,30553.1430595287
7.48332691284958e-05,308893.674596902,29707.9995922499
7.48332691284958e-05,309352.776613395,29661.2695655712
7.93998457519246e-05,310532.210075199,29189.5561463808
8.99466058880948e-05,313102.182111846,27882.5814758533
9.40879606134848e-05,314875.864016136,28306.0941574826
9.6256313534023e-05,314591.014346355,28157.4634557569
0.000109840551202125,316075.341854901,27337.0656070749
0.000109840551202125,315780.204844298,27274.7589048366
0.000116542492502967,317227.255554663,26943.5578704396
0.000132022947187231,319478.81811253,25777.0443318621
0.000138091614747883,321288.796237976,26045.9592130958
0.000141282601088499,320965.635417852,25863.9856572074
0.000161223961054479,322420.787582859,25031.7176242561
0.000167627728734679,324550.75512427,25037.1141677656
0.000171060054113553,323543.336195668,24890.4105900704
0.000193782130492047,325395.525599718,23747.9020935025
0.000202688411489627,327282.524267289,23949.9382504639
0.000207379302553918,326967.826182183,23790.501574984
0.000236640483509858,328118.57153755,23108.4081051618
0.000246071902627231,330188.957609425,23009.0168627465
0.000251082584675472,329109.908600606,22837.2633097012
0.000284434133030057,330828.918377807,21951.0627314514
0.000297506050384474,332714.340293854,21937.7581263374
0.000304389770336232,332398.379730864,21844.3366907919
0.00034734877506648,333463.830729577,21261.3423138066
0.000361247872231374,335312.087763147,21200.7450706071
0.000368539017786658,334423.837779905,21014.8635087501
0.000417492420461517,335771.201048264,20336.6356950923
0.000436671913713252,337744.79060417,20224.3724798626
0.000446780650276567,337447.841802444,20154.5424366491
0.000509835902459784,338235.212400987,19602.0164541959
0.000530198568184479,340140.890870335,19420.0664390802
0.000540932320424838,339257.744830487,19274.1516840892
0.000612784896199954,340425.053972969,19046.4972377411
0.000640941294812498,342391.713674516,18585.0165099403
0.000655786302861582,342133.534736791,18465.6142994997
0.000748332691284958,342818.034315623,18105.0159504166
0.000778216010838806,344473.017086498,17790.2304189017
0.000793998457519246,343746.372806027,17720.3958464021
0.000856787959796429,344928.382414758,17489.5940103011
0.000899466058880948,344681.341572448,17698.6728312395
0.000940778261929103,346664.028743029,17068.7460263343
0.00096256313534023,346394.830344368,17023.5295054722
0.00109840551202125,346982.745465239,16776.8994027045
0.0011422654607092,348611.991178374,16439.0853209094
0.00116542492502967,347847.614502253,16461.3904386286
0.00125773608582929,348870.475351036,16188.2283903732
