Time	Relaxation Modulus
1.00E-03	373297000
0.002	373272400
0.003	373243200
0.004	373202400
0.005	373148600
0.006	373091000
0.007	373036400
0.008	372984800
0.009	372934800
0.01	372884000
0.011	372827800
0.02	372334000
0.03	371773400
0.04	371290200
0.05	370783400
0.06	370358000
0.07	369836600
0.08	369377200
0.09	369000400
0.1	368527400
0.11	368081200
0.111	368045800
0.21	364262200
0.31	361060000
0.41	358178600
0.51	355647200
0.61	353352000
0.71	351245200
0.81	349321400
0.91	347540800
1.01	345835400
1.11	344306200
1.112	344264000
2.11	332310000
3.11	324150400
4.11	317962200
5.11	312838600
6.11	308585800
7.11	304890600
8.11	301711600
9.11	298836200
10.11	296211000
11.11	293807200
11.112	293803400
21.11	277460400
31.11	267506400
41.11	260462800
51.11	254890800
61.11	250415000
71.11	246653600
81.11	243381400
91.11	240497800
101.11	237904000
111.11	235638800
111.112	235667200
211.11	220321000
311.11	211347600
411.11	206061800
511.11	202450400
611.11	198740600
711.11	195593800
811.11	192887800
911.11	190497200
1011.11	188385800
1111.11	186461200
1111.112	186460400
2111.11	174696400
3111.11	168570600
4111.11	162884800
5111.11	159153400
6111.11	156478200
7111.11	154350600
8111.11	152747600
9111.11	151207600
10111.11	148524800
11111.11	147432400

