Angular Frequency	Storage Modulus	Loss Modulus
300	5.97E+05	6.17E+05
215	5.25E+05	5.02E+05
154	4.66E+05	4.10E+05
111	4.16E+05	3.36E+05
79.3	3.74E+05	2.76E+05
56.9	3.39E+05	2.28E+05
40.8	3.10E+05	1.90E+05
29.3	2.85E+05	1.58E+05
21	2.63E+05	1.33E+05
15	2.45E+05	1.13E+05
10.8	2.29E+05	97002
7.74	2.15E+05	84361
5.55	2.03E+05	74583
3.98	1.92E+05	67019
2.85	1.81E+05	61186
2.05	1.70E+05	56677
1.47	1.60E+05	53413
1.05	1.51E+05	50870
0.754	1.41E+05	49003
0.541	1.31E+05	47473
0.388	1.21E+05	46412
0.278	1.12E+05	45000
0.199	1.03E+05	43990
0.143	93051	42739
0.103	83875	41445
0.0735	75520	40024
0.0527	66782	38411
0.0378	58554	36415
0.0271	50931	34416
0.0194	43325	32221
0.0139	36607	29590
0.01	30467	26961
