Time	Relaxation Modulus
0.2009	57334.0
0.302	47469.0
0.4029	41392.0
0.505	37077.0
0.6069	33793.0
0.709	31171.0
0.812	29000.0
0.9149	27148.0
1.019	25561.0
1.123	24186.0
1.227	22983.0
1.332	21869.0
1.438	20854.0
1.544	19977.0
1.65	19169.0
1.756	18414.0
1.864	17719.0
1.971	17089.0
2.079	16521.0
2.187	15963.0
2.296	15474.0
2.405	14985.0
2.515	14557.0
2.625	14108.0
2.736	13693.0
2.847	13312.0
2.958	12964.0
3.07	12617.0
3.183	12288.0
3.295	11978.0
3.409	11687.0
3.522	11407.0
3.637	11147.0
3.751	10884.0
3.866	10622.0
3.982	10368.0
4.098	10162.0
4.215	9952.6
4.332	9735.4
4.449	9530.2
4.567	9352.9
4.685	9159.7
4.804	8961.3
4.924	8785.3
5.043	8600.8
5.164	8454.5
5.285	8284.9
5.406	8137.6
5.528	7977.2
5.65	7851.7
5.773	7711.0
5.896	7566.0
6.02	7426.0
6.144	7317.4
6.269	7191.0
6.394	7055.1
6.52	6954.8
6.646	6825.5
6.773	6712.0
6.9	6609.7
7.028	6501.2
7.156	6399.6
7.285	6310.4
7.415	6208.8
7.544	6112.7
7.675	6009.2
7.806	5919.9
7.937	5845.5
8.069	5749.3
8.202	5678.5
8.335	5586.6
8.468	5525.4
8.602	5456.5
8.737	5370.5
8.872	5293.0
9.008	5227.3
9.144	5162.2
9.281	5086.8
9.419	5032.6
9.557	4945.4
9.695	4890.4
9.834	4826.6
9.974	4774.0
10.11	4708.3
10.26	4645.9
10.4	4568.7
10.54	4515.0
10.68	4470.8
10.82	4398.9
10.97	4333.5
11.11	4298.3
11.26	4237.5
11.4	4196.9
11.55	4131.4
11.69	4085.5
11.84	4030.9
11.99	3980.5
12.14	3934.6
12.29	3886.3
12.44	3841.2
12.59	3794.0
12.74	3752.3
12.89	3696.3
13.04	3650.4
13.19	3610.1
13.35	3565.9
13.5	3522.9
13.65	3484.2
13.81	3447.4
13.96	3418.2
14.12	3379.2
14.28	3315.2
14.43	3301.7
14.59	3261.1
14.75	3210.9
14.91	3188.9
15.07	3149.3
15.23	3126.1
15.39	3063.3
15.56	3041.7
15.72	3005.0
15.88	2974.4
16.05	2961.2
16.21	2918.5
16.38	2884.7
16.54	2847.9
16.71	2820.8
16.88	2795.1
17.04	2763.8
17.21	2745.6
17.38	2698.4
17.55	2682.0
17.72	2654.4
17.89	2631.4
18.07	2599.8
18.24	2577.9
18.41	2544.9
18.59	2521.6
18.76	2495.7
18.94	2467.1
19.11	2446.1
19.29	2429.8
19.47	2412.2
19.65	2383.3
19.83	2346.9
20.01	2338.8
20.19	2307.9
20.37	2290.0
20.55	2260.2
20.73	2255.0
20.92	2241.4
21.1	2211.0
21.29	2188.7
21.47	2170.3
21.66	2150.1
21.85	2129.8
22.03	2125.2
22.22	2097.6
22.41	2080.5
22.6	2065.9
22.79	2051.9
22.99	2036.9
23.18	2008.2
23.37	1997.7
23.57	1983.8
23.76	1959.2
23.96	1936.5
24.15	1917.2
24.35	1889.1
24.55	1876.8
24.75	1858.0
24.95	1840.8
25.15	1811.8
25.35	1800.7
25.55	1794.2
25.75	1777.3
25.96	1758.6
26.16	1741.0
26.37	1732.2
26.57	1703.1
26.78	1701.1
26.99	1676.7
27.2	1654.4
27.41	1644.2
27.62	1631.8
27.83	1606.1
28.04	1603.6
28.26	1592.6
28.47	1583.9
28.68	1554.8
28.9	1540.8
29.12	1531.8
29.33	1519.9
29.55	1524.7
29.77	1504.4
29.99	1493.5
30.21	1483.0
30.43	1469.1
30.66	1456.7
30.88	1422.1
31.1	1414.1
31.33	1407.2
31.55	1404.9
31.78	1386.6
32.01	1368.2
32.24	1359.9
32.47	1344.5
32.7	1330.7
32.93	1312.4
33.16	1313.4
33.4	1311.5
33.63	1290.2
33.87	1291.6
34.11	1280.9
34.34	1259.2
34.58	1248.3
34.82	1236.7
35.06	1217.8
35.3	1221.7
35.54	1210.9
35.79	1201.1
