Time	Relaxation Modulus
0.40226	175.18
0.50234	177.64
0.603	171.52
0.705	165.76
0.80609	167.07
0.90817	162.25
1.0093	162.83
1.1111	156.96
1.2137	156.07
1.3169	156.0
1.4195	155.93
1.5221	153.28
1.6257	154.23
1.7283	152.94
1.8309	152.45
1.9357	150.07
2.0391	149.92
2.1426	149.63
2.2474	146.94
2.3509	147.36
2.4566	145.95
2.5609	146.92
2.6666	145.73
2.7708	146.12
2.8778	144.47
2.9821	144.94
3.0885	142.05
3.196	143.03
3.301	142.71
3.4076	142.57
3.5135	139.3
3.6209	139.75
3.7283	139.48
3.8369	139.56
3.9428	139.57
4.051	138.49
4.1592	138.16
4.2674	136.82
4.3769	137.23
4.486	136.63
4.5927	136.56
4.7027	135.27
4.8117	136.69
4.9211	135.25
5.031	135.06
5.1409	134.27
5.2512	134.7
5.362	134.16
5.4718	134.13
5.5826	132.39
5.6937	132.97
5.8067	132.92
5.9178	132.16
6.0293	132.32
6.1409	131.09
6.2529	131.93
6.3659	130.15
6.4783	131.6
6.5911	130.11
6.7035	128.22
6.8177	129.07
6.9309	130.12
7.0461	128.5
7.1592	128.31
7.2729	128.69
7.3876	127.18
7.5021	128.46
7.6175	127.09
7.7321	127.98
7.8475	127.38
7.9628	126.65
8.0784	127.21
8.1937	125.75
8.3109	126.22
8.4276	125.92
8.5438	125.21
8.6609	124.91
8.7785	125.49
8.8957	125.31
9.0127	125.79
9.1311	125.14
9.2491	124.51
9.3675	124.21
9.4868	123.98
9.6061	123.75
9.7235	122.6
9.8427	122.02
9.9628	122.37
10.085	123.11
10.202	122.22
10.32	121.72
10.437	121.99
10.569	121.56
10.687	121.78
10.805	122.09
10.923	121.71
11.042	121.19
11.175	120.7
11.294	120.01
11.414	119.6
11.533	120.75
11.667	118.66
11.786	120.1
11.907	119.17
12.027	119.78
12.162	118.5
12.282	120.0
12.404	118.93
12.524	117.63
12.66	118.47
12.781	118.12
12.903	118.0
13.025	117.78
13.162	117.86
13.284	117.54
13.406	117.56
13.529	117.24
13.667	117.06
13.79	116.48
13.913	116.31
14.037	116.26
14.175	116.42
14.299	116.14
14.423	116.16
14.562	115.54
14.687	114.32
14.812	115.5
14.937	115.18
15.077	115.16
15.203	115.49
15.328	114.98
15.469	114.2
15.595	114.46
15.721	113.83
15.863	113.94
15.99	113.71
16.116	113.25
16.258	113.75
16.386	113.38
16.514	112.9
16.642	112.77
16.785	112.41
16.913	113.01
17.042	112.57
17.185	112.19
17.314	112.03
17.458	112.55
17.587	111.21
17.717	111.82
17.862	112.12
17.992	112.1
18.123	110.97
18.268	110.61
18.399	111.01
18.53	110.74
18.676	110.43
18.808	110.79
18.94	110.61
19.087	110.0
19.219	110.57
