Time	Relaxation Modulus
0.2009	143000.0
0.3008	131000.0
0.4018	123000.0
0.5029	117000.0
0.604	113000.0
0.7048	109000.0
0.8059	106000.0
0.908	103000.0
1.01	101000.0
1.112	98929.0
1.214	96999.0
1.316	95230.0
1.419	93581.0
1.522	92088.0
1.625	90648.0
1.728	89355.0
1.832	88108.0
1.935	86975.0
2.039	85847.0
2.143	84794.0
2.248	83781.0
2.352	82819.0
2.457	81917.0
2.562	81011.0
2.667	80171.0
2.772	79331.0
2.878	78560.0
2.984	77796.0
3.09	77094.0
3.196	76369.0
3.302	75704.0
3.409	75039.0
3.516	74415.0
3.623	73780.0
3.73	73208.0
3.838	72599.0
3.945	72066.0
4.053	71494.0
4.162	70963.0
4.27	70449.0
4.378	69945.0
4.487	69420.0
4.596	68951.0
4.706	68474.0
4.815	68012.0
4.925	67567.0
5.035	67119.0
5.145	66656.0
5.255	66280.0
5.366	65807.0
5.476	65476.0
5.588	65024.0
5.699	64624.0
5.81	64252.0
5.922	63821.0
6.034	63488.0
6.146	63116.0
6.258	62733.0
6.371	62406.0
6.484	62056.0
6.597	61719.0
6.71	61389.0
6.824	61046.0
6.937	60716.0
7.051	60429.0
7.165	60105.0
7.28	59766.0
7.394	59486.0
7.509	59199.0
7.624	58891.0
7.74	58591.0
7.855	58308.0
7.971	58005.0
8.087	57714.0
8.204	57463.0
8.32	57215.0
8.437	56907.0
8.554	56643.0
8.671	56385.0
8.788	56140.0
8.906	55872.0
9.024	55618.0
9.142	55367.0
9.261	55131.0
9.379	54869.0
9.498	54633.0
9.617	54386.0
9.737	54163.0
9.856	53958.0
9.976	53752.0
10.1	53532.0
10.22	53282.0
10.34	53060.0
10.46	52831.0
10.58	52606.0
10.7	52410.0
10.82	52207.0
10.94	51992.0
11.06	51784.0
11.19	51551.0
11.31	51380.0
11.43	51192.0
11.56	50990.0
11.68	50793.0
11.8	50614.0
11.93	50407.0
12.05	50198.0
12.17	50034.0
12.3	49847.0
12.42	49619.0
12.55	49460.0
12.67	49235.0
12.8	49057.0
12.92	48908.0
13.05	48735.0
13.18	48571.0
13.3	48397.0
13.43	48261.0
13.56	48054.0
13.68	47931.0
13.81	47738.0
13.94	47590.0
14.07	47431.0
14.2	47267.0
14.32	47112.0
14.45	46949.0
14.58	46819.0
14.71	46644.0
14.84	46472.0
14.97	46320.0
15.1	46162.0
15.23	45994.0
15.36	45836.0
15.49	45692.0
15.63	45548.0
15.76	45400.0
15.89	45257.0
16.02	45111.0
16.15	44970.0
16.28	44789.0
16.42	44677.0
16.55	44509.0
16.68	44362.0
16.82	44236.0
16.95	44107.0
17.09	43953.0
17.22	43800.0
17.36	43655.0
17.49	43519.0
17.63	43394.0
17.76	43287.0
17.9	43149.0
18.03	42975.0
18.17	42834.0
18.3	42720.0
18.44	42596.0
18.58	42418.0
18.72	42256.0
18.85	42130.0
18.99	42014.0
19.13	41897.0
19.27	41746.0
19.41	41621.0
