time_s,modulus_Pa
1.000000e-02,1.466061e+01
1.118367e-01,1.279266e+01
2.136735e-01,1.208777e+01
3.155102e-01,1.168859e+01
4.173469e-01,1.143243e+01
5.191837e-01,1.125278e+01
6.210204e-01,1.111947e+01
7.228571e-01,1.101665e+01
8.246939e-01,1.093450e+01
9.265306e-01,1.086730e+01
1.028367e+00,1.081161e+01
1.130204e+00,1.076473e+01
1.232041e+00,1.072467e+01
1.333878e+00,1.069005e+01
1.435714e+00,1.065981e+01
1.537551e+00,1.063316e+01
1.639388e+00,1.060952e+01
1.741224e+00,1.058840e+01
1.843061e+00,1.056942e+01
1.944898e+00,1.055229e+01
2.046735e+00,1.053675e+01
2.148571e+00,1.052258e+01
2.250408e+00,1.050960e+01
2.352245e+00,1.049769e+01
2.454082e+00,1.048670e+01
2.555918e+00,1.047653e+01
2.657755e+00,1.046709e+01
2.759592e+00,1.045831e+01
2.861429e+00,1.045012e+01
2.963265e+00,1.044245e+01
3.065102e+00,1.043526e+01
3.166939e+00,1.042851e+01
3.268776e+00,1.042215e+01
3.370612e+00,1.041615e+01
3.472449e+00,1.041048e+01
3.574286e+00,1.040511e+01
3.676122e+00,1.040002e+01
3.777959e+00,1.039518e+01
3.879796e+00,1.039059e+01
3.981633e+00,1.038621e+01
4.083469e+00,1.038203e+01
4.185306e+00,1.037805e+01
4.287143e+00,1.037424e+01
4.388980e+00,1.037059e+01
4.490816e+00,1.036710e+01
4.592653e+00,1.036375e+01
4.694490e+00,1.036053e+01
4.796327e+00,1.035744e+01
4.898163e+00,1.035447e+01
5.000000e+00,1.035161e+01
