time_s,modulus_Pa
1.000000e-02,1.000000e+00
1.118367e-01,8.336669e-01
2.136735e-01,7.369933e-01
3.155102e-01,6.721859e-01
4.173469e-01,6.252066e-01
5.191837e-01,5.893895e-01
6.210204e-01,5.610956e-01
7.228571e-01,5.381452e-01
8.246939e-01,5.191412e-01
9.265306e-01,5.031416e-01
1.028367e+00,4.894849e-01
1.130204e+00,4.776917e-01
1.232041e+00,4.674051e-01
1.333878e+00,4.583540e-01
1.435714e+00,4.503283e-01
1.537551e+00,4.431626e-01
1.639388e+00,4.367252e-01
1.741224e+00,4.309098e-01
1.843061e+00,4.256296e-01
1.944898e+00,4.208132e-01
2.046735e+00,4.164013e-01
2.148571e+00,4.123442e-01
2.250408e+00,4.085999e-01
2.352245e+00,4.051330e-01
2.454082e+00,4.019131e-01
2.555918e+00,3.989139e-01
2.657755e+00,3.961131e-01
2.759592e+00,3.934909e-01
2.861429e+00,3.910304e-01
2.963265e+00,3.887166e-01
3.065102e+00,3.865362e-01
3.166939e+00,3.844777e-01
3.268776e+00,3.825308e-01
3.370612e+00,3.806862e-01
3.472449e+00,3.789359e-01
3.574286e+00,3.772725e-01
3.676122e+00,3.756894e-01
3.777959e+00,3.741807e-01
3.879796e+00,3.727410e-01
3.981633e+00,3.713655e-01
4.083469e+00,3.700499e-01
4.185306e+00,3.687900e-01
4.287143e+00,3.675824e-01
4.388980e+00,3.664235e-01
4.490816e+00,3.653105e-01
4.592653e+00,3.642405e-01
4.694490e+00,3.632109e-01
4.796327e+00,3.622193e-01
4.898163e+00,3.612637e-01
5.000000e+00,3.603419e-01
