Stress[Pa],SteadyStateRate[1/s]
1.000000000000000056e-01,4.121242943369134160e-02
1.268961003167922152e-01,5.831208700925746141e-02
1.610262027560939169e-01,8.273801051694176789e-02
2.043359717856941815e-01,1.177689484764242733e-01
2.592943797404667627e-01,6.874713675956761662e-05
3.290344562312668697e-01,1.041043811832241501e-04
4.175318936560400984e-01,1.648149491167815036e-04
5.298316906283708771e-01,2.783071442636664327e-04
6.723357536499336984e-01,5.256504964097560850e-04
8.531678524172807698e-01,1.295643413328113457e-03
1.082636733874054569e+00,1.964416120230950469e+01
1.373823795883262866e+00,7.141246125211687001e+01
1.743328822199987638e+00,1.743328822790817261e+10
2.212216291070449259e+00,5.651027869839004403e+00
2.807216203941176769e+00,8.922007213935714276e+00
3.562247890262442152e+00,1.448020249386028979e+01
4.520353656360242667e+00,2.438403988475629092e+01
5.736152510448678576e+00,4.321514436664904224e+01
7.278953843983149596e+00,8.249068162313072605e+01
9.236708571873860407e+00,1.767578763514180764e+02
1.172102297533480630e+01,4.645231350126687175e+02
1.487352107293511061e+01,1.967332902992821573e+03
1.887391822135096575e+01,2.238401950855786563e+05
2.395026619987486072e+01,2.395026623662864685e+11
3.039195382313198124e+01,3.039195386977110596e+11
3.856620421163470525e+01,3.856620427081793213e+11
4.893900918477493889e+01,4.893900925987614746e+11
6.210169418915616291e+01,6.210169428445666504e+11
7.880462815669912402e+01,7.880462827763175049e+11
1.000000000000000000e+02,1.000000001534587891e+12
