                 mean            sd      hdi_2.5%     hdi_97.5%    mcse_mean      mcse_sd  ess_bulk  ess_tail  r_hat
G        5.018488e+08  2.847479e+08  3.488107e+07  9.742228e+08  2665871.453  2271387.788   10133.0    4817.0    1.0
K        2.073100e+01  5.240000e-01  1.969200e+01  2.173100e+01        0.009        0.006    3499.0    4470.0    1.0
a        5.022900e+01  2.871400e+01  4.210000e-01  9.481200e+01        0.284        0.242    9682.0    4656.0    1.0
f_eq     1.000000e-03  0.000000e+00  0.000000e+00  1.000000e-03        0.000        0.000    9552.0    4781.0    1.0
f_inf    4.990000e-01  2.930000e-01  4.700000e-02  1.000000e+00        0.003        0.002    9777.0    4967.0    1.0
n_flow   5.020000e-01  6.000000e-03  4.910000e-01  5.130000e-01        0.000        0.000    3696.0    4817.0    1.0
n_rejuv  1.001000e+00  5.750000e-01  9.400000e-02  1.989000e+00        0.006        0.005    9532.0    5113.0    1.0
sigma    1.947000e+00  2.080000e-01  1.562000e+00  2.351000e+00        0.002        0.003    8347.0    5288.0    1.0
tau_y    3.130600e+01  4.710000e-01  3.041100e+01  3.225500e+01        0.007        0.005    4044.0    4763.0    1.0
theta    5.006584e+03  2.948346e+03  1.455800e+01  9.550468e+03       30.822       23.056    8221.0    4942.0    1.0
xi       1.000000e-03  0.000000e+00  0.000000e+00  1.000000e-03        0.000        0.000    8635.0    5029.0    1.0
