,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
G,5299.882,527.461,4242.679,6302.12,8.233,5.852,4107.0,3903.0,
tau_y,13054.355,1330.842,10358.528,15578.897,20.584,14.903,4189.0,3836.0,
K,89055.368,8831.657,71984.114,106198.174,141.521,100.598,3891.0,3985.0,
n_flow,0.273,0.027,0.218,0.326,0.0,0.0,4046.0,3901.0,
f_eq,0.0,0.0,0.0,0.0,0.0,0.0,4119.0,3845.0,
f_inf,0.001,0.0,0.001,0.001,0.0,0.0,3882.0,3939.0,
theta,3.553,0.35,2.891,4.25,0.006,0.004,3693.0,3620.0,
a,0.849,0.085,0.675,1.007,0.001,0.001,4004.0,3692.0,
n_rejuv,1.047,0.108,0.837,1.254,0.002,0.001,3909.0,3673.0,
xi,0.0,0.0,0.0,0.0,0.0,0.0,3708.0,3730.0,
