FluiditySaramitoNonlocal - Bayesian Posterior Summary
==================================================

                mean            sd     hdi_2.5%     hdi_97.5%   mcse_mean     mcse_sd  ess_bulk  ess_tail  r_hat
G       5.007364e+07  2.853212e+07  2733777.984  9.718269e+07  281165.096  232450.432    9339.0    5145.0    NaN
eta_s   5.012280e+02  2.898910e+02       47.223  9.965710e+02       3.282       2.188    7130.0    4783.0    NaN
tau_y0  5.119500e+01  6.490000e-01       49.937  5.248300e+01       0.009       0.007    4988.0    5155.0    NaN
K_HB    6.220000e+00  4.760000e-01        5.300  7.152000e+00       0.008       0.006    3544.0    4361.0    NaN
n_HB    7.220000e-01  1.800000e-02        0.687  7.560000e-01       0.000       0.000    3602.0    4504.0    NaN
f_age   5.000000e-03  3.000000e-03        0.000  1.000000e-02       0.000       0.000    8581.0    4469.0    NaN
f_flow  5.010000e-01  2.860000e-01        0.056  1.000000e+00       0.003       0.002    7797.0    4536.0    NaN
t_a     4.965274e+04  2.932766e+04     4136.526  9.930080e+04     330.687     224.129    7306.0    4813.0    NaN
b       4.982510e+02  2.883300e+02       16.371  9.604830e+02       3.243       2.309    7909.0    4882.0    NaN
n_rej   1.549000e+00  8.460000e-01        0.100  2.854000e+00       0.009       0.007    8120.0    4248.0    NaN
xi      5.000000e-03  3.000000e-03        0.000  1.000000e-02       0.000       0.000    8623.0    4733.0    NaN
