eps_dot,eta_E_linear,eta_E_fene
1.000000000000000021e-02,3.030915336431605311e+01,3.030988829795835926e+01
1.151395399326447452e-02,3.495358360594291725e+01,3.495470901881007819e+01
1.325711365590108784e-02,4.032004091275387481e+01,4.032176515970448349e+01
1.526417967175233356e-02,4.652437535023512538e+01,4.652701866713253054e+01
1.757510624854792189e-02,5.370231830810634222e+01,5.370637345702951393e+01
2.023589647725157481e-02,6.201337353835623389e+01,6.201959979119987310e+01
2.329951810515371730e-02,7.164565167165315529e+01,7.165522084896529975e+01
2.682695795279725973e-02,8.282194626467675391e+01,8.283667038919995207e+01
3.088843596477481787e-02,9.580746973513487319e+01,9.583015727873171841e+01
3.556480306223128857e-02,1.109198467870925526e+02,1.109548627438024795e+02
4.094915062380425491e-02,1.285422349171147971e+02,1.285963862930476864e+02
4.714866363457394238e-02,1.491408624888037480e+02,1.492248079179388185e+02
5.428675439323859403e-02,1.732889402509858314e+02,1.734194528751881990e+02
6.250551925273972742e-02,2.016999790918564486e+02,2.019036168496062373e+02
7.196856730011520764e-02,2.352753360482068388e+02,2.355944709777109267e+02
8.286427728546842675e-02,2.751738723489168592e+02,2.756767527080085642e+02
9.540954763499938374e-02,3.229170258730824798e+02,3.237149019799396683e+02
1.098541141987558339e-01,3.805525687260255836e+02,3.818295676373101060e+02
1.264855216855295672e-01,4.509195037201550917e+02,4.529863823269305385e+02
1.456348477501243632e-01,5.380954778779873777e+02,5.414902079128574997e+02
1.676832936811008257e-01,6.481922191246995908e+02,6.538778706220454069e+02
1.930697728883249698e-01,7.908607846277799354e+02,8.006408568625550970e+02
2.222996482526194417e-01,9.823718697458700717e+02,9.998395401236441558e+02
2.559547922699536016e-01,1.252593728864475906e+03,1.285566701351245911e+03
2.947051702551809482e-01,1.663145020483985491e+03,1.731020038405346668e+03
3.393221771895327810e-01,2.365170782337210767e+03,2.527443772949609411e+03
3.906939937054617062e-01,3.855248598589605081e+03,4.383443939843606131e+03
4.498432668969446491e-01,9.279021606860440443e+03,1.393096784957456657e+04
5.179474679231209633e-01,9.999999999341214844e+12,2.499999999835303800e+24
5.963623316594642843e-01,9.999999999373576172e+12,2.499999999843393908e+24
6.866488450043002345e-01,9.999999999407107422e+12,2.499999999851777147e+24
7.906043210907697238e-01,9.999999999441529297e+12,2.499999999860382651e+24
9.102981779915217952e-01,9.999999999476521484e+12,2.499999999869130425e+24
1.048113134154685211e+00,9.999999999511746094e+12,2.499999999877936182e+24
1.206792640639328784e+00,9.999999999546853516e+12,2.499999999886713485e+24
1.389495494373137463e+00,9.999999999581501953e+12,2.499999999895375360e+24
1.599858719606057411e+00,9.999999999615363281e+12,2.499999999903841277e+24
1.842069969326716405e+00,9.999999999648144531e+12,2.499999999912036075e+24
2.120950887920190375e+00,9.999999999679583984e+12,2.499999999919895865e+24
2.442053094548649828e+00,9.999999999709476562e+12,2.499999999927369108e+24
2.811768697974230680e+00,9.999999999737654297e+12,2.499999999934413392e+24
3.237457542817643308e+00,9.999999999764009766e+12,2.499999999941002408e+24
3.727593720314938075e+00,9.999999999788474609e+12,2.499999999947118979e+24
4.291934260128778433e+00,9.999999999811033203e+12,2.499999999952758271e+24
4.941713361323833098e+00,9.999999999831697266e+12,2.499999999957924579e+24
5.689866029018292970e+00,9.999999999850521484e+12,2.499999999962630253e+24
6.551285568595509368e+00,9.999999999867572266e+12,2.499999999966893008e+24
7.543120063354614935e+00,9.999999999882945312e+12,2.499999999970736467e+24
8.685113737513519894e+00,9.999999999896750000e+12,2.499999999974187473e+24
1.000000000000000000e+01,9.999999999909089844e+12,2.499999999977272333e+24
