t,gamma,sigma
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.906250000000000000e-03,3.557591306286240346e-02,1.778795653143120159e+00
7.812500000000000000e-03,7.107724549572227990e-02,3.553862274786113939e+00
1.171875000000000000e-02,1.064297496231979001e-01,5.321487481159895339e+00
1.562500000000000000e-02,1.415598419177299672e-01,7.077992095886498802e+00
1.953125000000000000e-02,1.763949306794644067e-01,8.819746533973219726e+00
2.343750000000000000e-02,2.108637384699040551e-01,1.054318692349520248e+01
2.734375000000000000e-02,2.448966175947688284e-01,1.224483087973844064e+01
3.125000000000000000e-02,2.784258569690685747e-01,1.392129284845342951e+01
3.515625000000000000e-02,3.113859787439637872e-01,1.556929893719818914e+01
3.906250000000000000e-02,3.437140231303166260e-01,1.718570115651583308e+01
4.296875000000000000e-02,3.753498199176183991e-01,1.876749099588091951e+01
4.687500000000000000e-02,4.062362452588728634e-01,2.031181226294364350e+01
5.078125000000000000e-02,4.363194623716290521e-01,2.181597311858145360e+01
5.468750000000000000e-02,4.655491448922608466e-01,2.327745724461304277e+01
5.859375000000000000e-02,4.938786817143153707e-01,2.469393408571576742e+01
6.250000000000000000e-02,5.212653622417827703e-01,2.606326811208913696e+01
6.640625000000000000e-02,5.476705410939453067e-01,2.738352705469726445e+01
7.031250000000000000e-02,5.730597814094636755e-01,2.865298907047318266e+01
7.421875000000000000e-02,5.974029760129477840e-01,2.987014880064738875e+01
7.812500000000000000e-02,6.206744458268271813e-01,3.103372229134135907e+01
8.203125000000000000e-02,6.428530150342146587e-01,3.214265075171073249e+01
8.593750000000000000e-02,6.639220626239975553e-01,3.319610313119987666e+01
8.984375000000000000e-02,6.838695500769036428e-01,3.419347750384518037e+01
9.375000000000000000e-02,7.026880250800867644e-01,3.513440125400433800e+01
9.765625000000000000e-02,7.203746012871612425e-01,3.601873006435805991e+01
1.015625000000000000e-01,7.369309142698864390e-01,3.684654571349432217e+01
1.054687500000000000e-01,7.523630539361564340e-01,3.761815269680781881e+01
1.093750000000000000e-01,7.666814738158986842e-01,3.833407369079493776e+01
1.132812500000000000e-01,7.799008777412328453e-01,3.899504388706164093e+01
1.171875000000000000e-01,7.920400845691151215e-01,3.960200422845575474e+01
1.210937500000000000e-01,8.031218717130395035e-01,4.015609358565197340e+01
1.250000000000000000e-01,8.131727983645296032e-01,4.065863991822647705e+01
1.289062500000000000e-01,8.222230093945334106e-01,4.111115046972667386e+01
1.328125000000000000e-01,8.303060210288241150e-01,4.151530105144120597e+01
1.367187500000000000e-01,8.374584894895490406e-01,4.187292447447745047e+01
1.406250000000000000e-01,8.437199638866366147e-01,4.218599819433183029e+01
1.445312500000000000e-01,8.491326247273547345e-01,4.245663123636773406e+01
1.484375000000000000e-01,8.537410094894778423e-01,4.268705047447389234e+01
1.523437500000000000e-01,8.575917267728184745e-01,4.287958633864092661e+01
1.562500000000000000e-01,8.607331606049645201e-01,4.303665803024822623e+01
1.601562500000000000e-01,8.632151665295894061e-01,4.316075832647946697e+01
1.640625000000000000e-01,8.650887611493848217e-01,4.325443805746924397e+01
1.679687500000000000e-01,8.664058068302745719e-01,4.332029034151372571e+01
1.718750000000000000e-01,8.672186932989208730e-01,4.336093466494604343e+01
1.757812500000000000e-01,8.675800178814702113e-01,4.337900089407351345e+01
