Data calculated via Fourier domain filtering

Frequency:	6.2831853

Number of harmonics used:	39

Number of cycles in input:	3

Time	Strain	Rate	Stress	G'_t	G"_t	|G*_t|	tan(delta_t)	delta_t	displacement stress	est. elastic stress	dG'_{t}/dt	dG"_{t}/dt	Speed	norm. PAV
[s]	[-]	[1/s]	[Pa]	[Pa]	[Pa]	[Pa]	[]	[rad]	[Pa]	[Pa]	[Pa/s]	[Pa/s]	[Pa/s]	[]

0.0000000	0.0000000	1.0000000	-0.0000000	72.5000000	0.0000000	72.5000000	0.0000000	0.0000000	-0.0000000	0.0000000	-0.0000000	1586.5042913	1586.5042913	2.4827586
0.0013021	0.0081811	0.9999665	0.5931162	72.5060230	1.4724573	72.5209728	0.0203081	0.0203053	-0.2344067	0.0114141	13.0213874	1591.5816458	1591.6349116	2.4802864
0.0026042	0.0163617	0.9998661	1.1860941	72.5240807	2.9439291	72.5838067	0.0405924	0.0405702	-0.4690036	0.0228286	26.1128110	1595.7550278	1595.9686675	2.4728917
0.0039062	0.0245412	0.9996988	1.7787957	72.5541392	4.4134310	72.6882486	0.0608295	0.0607546	-0.7039799	0.0342441	39.2536119	1599.0148758	1599.4966142	2.4606402
0.0052083	0.0327191	0.9994646	2.3710827	72.5961422	5.8799801	72.8338796	0.0809958	0.0808193	-0.9395233	0.0456609	52.4228516	1601.3524582	1602.2103017	2.4436399
0.0065104	0.0408947	0.9991635	2.9628174	72.6500108	7.3425965	73.0201191	0.1010681	0.1007260	-1.1758193	0.0570795	65.5993371	1602.7598947	1604.1017902	2.4220382
0.0078125	0.0490677	0.9987955	3.5538623	72.7156439	8.8003036	73.2462300	0.1210235	0.1204378	-1.4130500	0.0685002	78.7616480	1603.2301753	1605.1636653	2.3960195
0.0091146	0.0572373	0.9983606	4.1440800	72.7929180	10.2521293	73.5113261	0.1408397	0.1399194	-1.6513934	0.0799235	91.8881626	1602.7571793	1605.3890526	2.3658011
0.0104167	0.0654031	0.9978589	4.7333339	72.8816877	11.6971072	73.8143801	0.1604945	0.1591373	-1.8910230	0.0913496	104.9570864	1601.3356925	1604.7716318	2.3316285
0.0117188	0.0735646	0.9972905	5.3214875	72.9817854	13.1342766	74.1542327	0.1799665	0.1780605	-2.1321068	0.1027788	117.9464805	1598.9614246	1603.3056507	2.2937712
0.0130208	0.0817211	0.9966552	5.9084051	73.0930220	14.5626843	74.5296025	0.1992349	0.1966598	-2.3748062	0.1142113	130.8342906	1595.6310237	1600.9859385	2.2525172
0.0143229	0.0898721	0.9959533	6.4939514	73.2151869	15.9813848	74.9390970	0.2182796	0.2149088	-2.6192758	0.1256471	143.5983768	1591.3420911	1597.8079186	2.2081686
0.0156250	0.0980171	0.9951847	7.0779921	73.3480481	17.3894417	75.3812235	0.2370812	0.2327833	-2.8656626	0.1370865	156.2165446	1586.0931944	1593.7676211	2.1610361
0.0169271	0.1061556	0.9943495	7.6603933	73.4913528	18.7859280	75.8544002	0.2556209	0.2502619	-3.1141048	0.1485294	168.6665749	1579.8838789	1588.8616945	2.1114344
0.0182292	0.1142870	0.9934478	8.2410221	73.6448274	20.1699274	76.3569681	0.2738811	0.2673257	-3.3647317	0.1599756	180.9262561	1572.7146783	1583.0874168	2.0596782
0.0195312	0.1224107	0.9924795	8.8197465	73.8081779	21.5405347	76.8872016	0.2918448	0.2839583	-3.6176627	0.1714251	192.9734162	1564.5871240	1576.4427068	2.0060776
0.0208333	0.1305262	0.9914449	9.3964354	73.9810906	22.8968570	77.4433201	0.3094961	0.3001459	-3.8730065	0.1828775	204.7859541	1555.5037529	1568.9261335	1.9509353
0.0221354	0.1386330	0.9903438	9.9709585	74.1632318	24.2380145	78.0234984	0.3268198	0.3158770	-4.1308610	0.1943326	216.3418733	1545.4681138	1560.5369259	1.8945429
0.0234375	0.1467305	0.9891765	10.5431869	74.3542488	25.5631407	78.6258767	0.3438020	0.3311426	-4.3913121	0.2057898	227.6193141	1534.4847725	1551.2749818	1.8371787
0.0247396	0.1548182	0.9879430	11.1129927	74.5537701	26.8713841	79.2485704	0.3604296	0.3459358	-4.6544336	0.2172487	238.5965872	1522.5593152	1541.1408760	1.7791060
0.0260417	0.1628955	0.9866433	11.6802492	74.7614057	28.1619081	79.8896792	0.3766905	0.3602519	-4.9202862	0.2287087	249.2522066	1509.6983512	1530.1358679	1.7205711
0.0273438	0.1709619	0.9852776	12.2448309	74.9767477	29.4338923	80.5472949	0.3925736	0.3740880	-5.1889174	0.2401689	259.5649234	1495.9095130	1518.2619078	1.6618025
0.0286458	0.1790169	0.9838460	12.8066136	75.1993710	30.6865330	81.2195094	0.4080690	0.3874430	-5.4603604	0.2516286	269.5137592	1481.2014559	1505.5216436	1.6030107
0.0299479	0.1870599	0.9823485	13.3654747	75.4288334	31.9190439	81.9044216	0.4231677	0.4003176	-5.7346345	0.2630869	279.0780396	1465.5838554	1491.9184258	1.5443871
0.0312500	0.1950903	0.9807853	13.9212928	75.6646764	33.1306570	82.6001434	0.4378616	0.4127139	-6.0117436	0.2745428	288.2374278	1449.0674037	1477.4563124	1.4861049
0.0325521	0.2031077	0.9791564	14.4739482	75.9064255	34.3206230	83.3048054	0.4521438	0.4246353	-6.2916768	0.2859950	296.9719575	1431.6638040	1462.1400723	1.4283191
0.0338542	0.2111116	0.9774620	15.0233224	76.1535913	35.4882120	84.0165618	0.4660084	0.4360865	-6.5744073	0.2974424	305.2620668	1413.3857638	1445.9751888	1.3711670
0.0351562	0.2191012	0.9757021	15.5692989	76.4056693	36.6327144	84.7335947	0.4794502	0.4470730	-6.8598922	0.3088837	313.0886307	1394.2469865	1428.9678618	1.3147692
0.0364583	0.2270763	0.9738770	16.1117628	76.6621412	37.7534412	85.4541176	0.4924653	0.4576017	-7.1480725	0.3203175	320.4329937	1374.2621612	1411.1250090	1.2592304
0.0377604	0.2350361	0.9719866	16.6506007	76.9224752	38.8497248	86.1763791	0.5050504	0.4676797	-7.4388726	0.3317422	327.2770026	1353.4469513	1392.4542672	1.2046401
0.0390625	0.2429802	0.9700313	17.1857012	77.1861267	39.9209194	86.8986649	0.5172033	0.4773153	-7.7321997	0.3431562	333.6030377	1331.8179815	1372.9639918	1.1510742
0.0403646	0.2509080	0.9680109	17.7169546	77.4525387	40.9664018	87.6193006	0.5289226	0.4865171	-8.0279442	0.3545579	339.3940449	1309.3928232	1352.6632557	1.0985956
0.0416667	0.2588190	0.9659258	18.2442531	77.7211432	41.9855716	88.3366533	0.5402078	0.4952942	-8.3259794	0.3659454	344.6335660	1286.1899783	1331.5618480	1.0472553
0.0429688	0.2667128	0.9637761	18.7674910	77.9913609	42.9778519	89.0491332	0.5510591	0.5036560	-8.6261608	0.3773168	349.3057694	1262.2288614	1309.6702712	0.9970937
0.0442708	0.2745886	0.9615618	19.2865643	78.2626026	43.9426900	89.7551947	0.5614775	0.5116124	-8.9283268	0.3886703	353.3954796	1237.5297814	1286.9997377	0.9481416
0.0455729	0.2824461	0.9592832	19.8013714	78.5342699	44.8795572	90.4533371	0.5714646	0.5191733	-9.2322980	0.4000037	356.8882060	1212.1139202	1263.5621659	0.9004210
0.0468750	0.2902847	0.9569403	20.3118123	78.8057553	45.7879500	91.1421057	0.5810229	0.5263489	-9.5378775	0.4113149	359.7701711	1186.0033109	1239.3701745	0.8539461
0.0481771	0.2981038	0.9545335	20.8177895	79.0764438	46.6673899	91.8200917	0.5901554	0.5331494	-9.8448509	0.4226017	362.0283380	1159.2208146	1214.4370772	0.8087243
0.0494792	0.3059030	0.9520627	21.3192075	79.3457128	47.5174243	92.4859327	0.5988657	0.5395850	-10.1529863	0.4338619	363.6504365	1131.7900955	1188.7768757	0.7647569
0.0507812	0.3136817	0.9495282	21.8159731	79.6129337	48.3376262	93.1383128	0.6071580	0.5456661	-10.4620342	0.4450930	364.6249888	1103.7355944	1162.4042519	0.7220400
0.0520833	0.3214395	0.9469301	22.3079954	79.8774718	49.1275954	93.7759624	0.6150369	0.5514028	-10.7717281	0.4562926	364.9413338	1075.0825017	1135.3345598	0.6805650
0.0533854	0.3291757	0.9442687	22.7951855	80.1386878	49.8869578	94.3976580	0.6225078	0.5568052	-11.0817842	0.4674583	364.5896509	1045.8567283	1107.5838161	0.6403195
0.0546875	0.3368899	0.9415441	23.2774572	80.3959382	50.6153666	95.0022221	0.6295762	0.5618833	-11.3919017	0.4785873	363.5609818	1016.0848756	1079.1686903	0.6012877
0.0559896	0.3445815	0.9387564	23.7547266	80.6485760	51.3125018	95.5885226	0.6362481	0.5666470	-11.7017634	0.4896772	361.8472522	985.7942044	1050.1064933	0.5634509
0.0572917	0.3522500	0.9359059	24.2269119	80.8959520	51.9780711	96.1554727	0.6425299	0.5711059	-12.0110355	0.5007252	359.4412913	955.0126021	1020.4151665	0.5267881
0.0585938	0.3598950	0.9329928	24.6939341	81.1374150	52.6118093	96.7020299	0.6484285	0.5752697	-12.3193683	0.5117284	356.3368510	923.7685496	990.1132685	0.4912766
0.0598958	0.3675159	0.9300172	25.1557165	81.3723129	53.2134794	97.2271962	0.6539507	0.5791475	-12.6263962	0.5226841	352.5286229	892.0910865	959.2199625	0.4568917
0.0611979	0.3751122	0.9269794	25.6121851	81.5999934	53.7828718	97.7300170	0.6591039	0.5827485	-12.9317385	0.5335894	348.0122551	860.0097753	927.7550018	0.4236080
0.0625000	0.3826834	0.9238795	26.0632681	81.8198052	54.3198052	98.2095807	0.6638956	0.5860817	-13.2349996	0.5444413	342.7843660	827.5546653	895.7387150	0.3913988
0.0638021	0.3902290	0.9207178	26.5088966	82.0310979	54.8241260	98.6650182	0.6683334	0.5891556	-13.5357694	0.5552368	336.8425585	794.7562544	863.1919909	0.3602370
0.0651042	0.3977485	0.9174945	26.9490042	82.2332240	55.2957091	99.0955023	0.6724254	0.5919788	-13.8336239	0.5659727	330.1854316	761.6454511	830.1362613	0.3300949
0.0664062	0.4052413	0.9142098	27.3835271	82.4255386	55.7344570	99.5002468	0.6761795	0.5945595	-14.1281258	0.5766460	322.8125906	728.2535354	796.5934851	0.3009447
0.0677083	0.4127070	0.9108638	27.8124040	82.6074010	56.1403007	99.8785065	0.6796038	0.5969057	-14.4188252	0.5872534	314.7246565	694.6121187	762.5861295	0.2727586
0.0690104	0.4201451	0.9074569	28.2355766	82.7781750	56.5131992	100.2295762	0.6827065	0.5990251	-14.7052596	0.5977917	305.9232729	660.7531034	728.1371523	0.2455087
0.0703125	0.4275551	0.9039893	28.6529891	82.9372300	56.8531392	100.5527899	0.6854960	0.6009253	-14.9869553	0.6082575	296.4111121	626.7086414	693.2699825	0.2191675
0.0716146	0.4349364	0.9004612	29.0645883	83.0839417	57.1601358	100.8475210	0.6879805	0.6026136	-15.2634277	0.6186474	286.1918797	592.5110927	658.0085007	0.1937078
