Data calculated via Fourier domain filtering

Frequency:	6.2831853

Number of harmonics used:	39

Number of cycles in input:	3

Tangent(x)	Tangent(y)	Tangent(z)	Normal(x)	Normal(y)	Normal(z)	Binormal(x)	Binormal(y)	Binormal(z)
[-]	[1/s]	[Pa]	[-]	[1/s]	[Pa]	[-]	[1/s]	[Pa]	

6.2833877	-0.0000000	478.5125242	0.5745348	-0.8184454	-0.0075443	0.8183748	0.5745843	-0.0107461
6.2831774	-0.0514053	474.7383849	0.7685321	-0.6397293	-0.0102408	0.6396744	0.7686003	-0.0083829
6.2825466	-0.1028071	469.1552932	0.8468886	-0.5316469	-0.0114573	0.5316018	0.8469660	-0.0069332
6.2814953	-0.1542021	462.2248539	0.8795296	-0.4756900	-0.0121112	0.4756501	0.8796129	-0.0061705
6.2800235	-0.2055867	454.5089221	0.8903777	-0.4550506	-0.0125083	0.4550128	0.8904655	-0.0058842
6.2781314	-0.2569576	446.6241694	0.8864330	-0.4626819	-0.0127267	0.4626434	0.8865242	-0.0059933
6.2758191	-0.3083112	439.1919198	0.8662827	-0.4993918	-0.0127293	0.4993496	0.8663760	-0.0065272
6.2730867	-0.3596443	432.7874016	0.8186467	-0.5741648	-0.0123431	0.5741145	0.8187393	-0.0076412
6.2699345	-0.4109532	427.8926425	0.7086478	-0.7054756	-0.0110614	0.7054102	0.7087335	-0.0096557
6.2663626	-0.4622347	424.8569493	0.4391489	-0.8983834	-0.0074546	0.8982932	0.4392108	-0.0127714
6.2623713	-0.5134852	423.8682891	-0.0971208	-0.9952726	0.0002292	0.9951630	-0.0971135	-0.0148205
6.2579608	-0.5647013	424.9379807	-0.5845610	-0.8113148	0.0075305	0.8112161	-0.5846080	-0.0127235
6.2531315	-0.6158797	427.8999816	-0.7990819	-0.6011249	0.0108122	0.6010446	-0.7991538	-0.0099336
6.2478836	-0.6670168	432.4248280	-0.8800542	-0.4747220	0.0119832	0.4746534	-0.8801344	-0.0082156
6.2422176	-0.7181093	438.0470446	-0.9110614	-0.4120870	0.0123072	0.4120245	-0.9111430	-0.0073651
6.2361337	-0.7691537	444.2037069	-0.9186124	-0.3949711	0.0122124	0.3949105	-0.9186919	-0.0071349
6.2296325	-0.8201467	450.2809015	-0.9077702	-0.4193019	0.0117953	0.4192396	-0.9078450	-0.0074537
6.2227142	-0.8710847	455.6641752	-0.8691648	-0.4944019	0.0109245	0.4943340	-0.8692313	-0.0084125
6.2153795	-0.9219645	459.7887447	-0.7653244	-0.6435811	0.0090551	0.6435028	-0.7653753	-0.0102335
6.2076288	-0.9727825	462.1852837	-0.4897397	-0.8718558	0.0047427	0.8717652	-0.4897582	-0.0127395
6.1994626	-1.0235354	462.5175034	0.0378614	-0.9992793	-0.0027189	0.9991931	0.0378944	-0.0133091
6.1908814	-1.0742198	460.6084672	0.4862820	-0.8737598	-0.0085737	0.8736986	0.4863520	-0.0106088
6.1818859	-1.1248323	456.4535525	0.6969484	-0.7170338	-0.0112060	0.7169934	0.6970341	-0.0079928
6.1724766	-1.1753696	450.2191237	0.7885069	-0.6149006	-0.0124157	0.6148731	0.7886003	-0.0063711
6.1626542	-1.2258281	442.2271899	0.8312485	-0.5557460	-0.0131244	0.5557263	0.8313475	-0.0054399
6.1524193	-1.2762046	432.9274997	0.8513501	-0.5244204	-0.0136446	0.5244054	0.8514544	-0.0049425
6.1417726	-1.3264957	422.8595639	0.8586333	-0.5123969	-0.0140785	0.5123845	0.8587430	-0.0047482
6.1307148	-1.3766980	412.6079073	0.8565270	-0.5158999	-0.0144480	0.5158883	0.8566424	-0.0048070
6.1192467	-1.4268082	402.7543702	0.8450478	-0.5344877	-0.0147327	0.5344748	0.8451688	-0.0051264
6.1073689	-1.4768229	393.8314668	0.8209356	-0.5708271	-0.0148713	0.5708102	0.8210617	-0.0057730
6.0950825	-1.5267387	386.2806450	0.7752465	-0.6314871	-0.0147284	0.6314618	0.7753763	-0.0068992
6.0823880	-1.5765523	380.4188129	0.6856315	-0.7278146	-0.0139786	0.7277732	0.6857615	-0.0087942
6.0692865	-1.6262604	376.4157350	0.4965683	-0.8679180	-0.0117564	0.8678479	0.4966887	-0.0118472
6.0557787	-1.6758597	374.2839336	0.1119615	-0.9936928	-0.0062608	0.9935809	0.1120470	-0.0155741
6.0418656	-1.7253468	373.8816511	-0.3908173	-0.9204660	0.0020679	0.9203265	-0.3907955	-0.0166757
6.0275481	-1.7747184	374.9283163	-0.7026958	-0.7114462	0.0079293	0.7113088	-0.7027246	-0.0147617
6.0128272	-1.8239712	377.0309301	-0.8255282	-0.5642644	0.0104356	0.5641356	-0.8255800	-0.0129907
5.9977038	-1.8731019	379.7189092	-0.8614893	-0.5076544	0.0111031	0.5075301	-0.8615467	-0.0122664
5.9821789	-1.9221073	382.4842879	-0.8470033	-0.5314824	0.0105765	0.5313575	-0.8470544	-0.0125673
5.9662537	-1.9709840	384.8238164	-0.7692261	-0.6389181	0.0086536	0.6387887	-0.7692577	-0.0138437
5.9499291	-2.0197288	386.2794368	-0.5635235	-0.8260886	0.0043607	0.8259565	-0.5635161	-0.0156688
5.9332063	-2.0683384	386.4738620	-0.1668107	-0.9859852	-0.0027159	0.9858695	-0.1667469	-0.0160276
5.9160864	-2.1168096	385.1384936	0.2540794	-0.9671394	-0.0092185	0.9670614	0.2541872	-0.0134579
5.8985705	-2.1651391	382.1316421	0.5120623	-0.8588534	-0.0127704	0.8588096	0.5121902	-0.0103545
5.8806598	-2.2133236	377.4458932	0.6431431	-0.7656085	-0.0145097	0.7655875	0.6432801	-0.0081558
5.8623555	-2.2613601	371.2043994	0.7106041	-0.7034212	-0.0155076	0.7034149	0.7107472	-0.0067790
5.8436588	-2.3092451	363.6468063	0.7464134	-0.6652849	-0.0162193	0.6652886	0.7465626	-0.0059501
5.8245710	-2.3569756	355.1063502	0.7647158	-0.6441482	-0.0168186	0.6441590	0.7648719	-0.0054890
5.8050933	-2.4045484	345.9803294	0.7718080	-0.6356185	-0.0173674	0.6356344	0.7719721	-0.0052999
5.7852271	-2.4519602	336.6966073	0.7702826	-0.6374521	-0.0178774	0.6374713	0.7704556	-0.0053425
5.7649737	-2.4992079	327.6790109	0.7605546	-0.6490152	-0.0183307	0.6490357	0.7607372	-0.0056166
5.7443344	-2.5462883	319.3144540	0.7411585	-0.6710700	-0.0186844	0.6710890	0.7413512	-0.0061609
5.7233106	-2.5931983	311.9243338	0.7081363	-0.7058238	-0.0188611	0.7058375	0.7083386	-0.0070622
5.7019037	-2.6399347	305.7422805	0.6531785	-0.7569726	-0.0187175	0.7569744	0.6533896	-0.0084754
5.6801152	-2.6864944	300.8997119	0.5596408	-0.8285406	-0.0179618	0.8285204	0.5598578	-0.0106415
5.6579465	-2.7328743	297.4199389	0.3969390	-0.9177058	-0.0159836	0.9176479	0.3971544	-0.0138075
5.6353992	-2.7790713	295.2208315	0.1294026	-0.9915219	-0.0118039	0.9914085	0.1295986	-0.0177048
5.6124746	-2.8250823	294.1253700	-0.2114442	-0.9773754	-0.0053530	0.9772039	-0.2112939	-0.0206764
5.5891744	-2.8709042	293.8788105	-0.4854360	-0.8742720	0.0006916	0.8740654	-0.4853382	-0.0213648
5.5655001	-2.9165339	294.1707528	-0.6185939	-0.7857011	0.0039136	0.7854832	-0.6185269	-0.0209931
5.5414532	-2.9619685	294.6601162	-0.6319662	-0.7749851	0.0040946	0.7747678	-0.6318996	-0.0209224
5.5170355	-3.0072047	295.0009457	-0.5338735	-0.8455633	0.0013648	0.8453576	-0.5337780	-0.0212509
