Data calculated via numerical differentiation

Frequency:	6.2831853

Step size for numerical diff.:	8

Looped differentiation

Tangent(x)	Tangent(y)	Tangent(z)	Normal(x)	Normal(y)	Normal(z)	Binormal(x)	Binormal(y)	Binormal(z)
[-]	[1/s]	[Pa]	[-]	[1/s]	[Pa]	[-]	[1/s]	[Pa]

9.1580115	-15.6254417	463.5112625	-0.0673015	-0.9972101	-0.0322872	0.9975373	-0.0666128	-0.0219548
8.5379827	-9.3932901	450.0193090	-0.0506970	0.9984761	0.0218031	-0.9985340	-0.0510903	0.0178783
8.9279863	28.1631460	428.7400968	-0.0063557	-0.9978207	0.0656773	0.9997640	-0.0077051	-0.0203127
9.1250685	-33.5585109	476.6627236	-0.0297288	0.9970499	0.0707645	-0.9993756	-0.0310011	0.0169491
8.0189771	-3.5680462	432.3166284	-0.0988999	-0.9950769	-0.0063782	0.9949246	-0.0987612	-0.0192698
8.9089141	20.0707692	430.2973525	0.0234613	-0.9986615	0.0460958	0.9995109	0.0224777	-0.0217424
8.5165200	-15.5824968	406.0974772	-0.0861828	-0.9956143	-0.0363956	0.9960590	-0.0853380	-0.0241635
8.5394185	-1.5024077	464.8462025	-0.0434587	0.9990471	0.0040273	-0.9988864	-0.0435251	0.0182093
8.3173094	-4.6760007	432.5544595	0.0297500	0.9995050	0.0102328	-0.9993725	0.0295460	0.0195357
8.3390764	-3.2497022	408.9388586	0.2905212	0.9568671	0.0016796	-0.9566514	0.2904174	0.0218159
8.1570014	-2.1941591	401.0786951	-0.0049025	-0.9999736	-0.0053708	0.9997812	-0.0047922	-0.0203594
8.2099790	-3.9709466	391.0874351	0.2184316	0.9758377	0.0053228	-0.9756266	0.2182605	0.0226972
7.9546478	-6.0078465	408.5459172	0.2982595	0.9544493	0.0082283	-0.9542863	0.2980106	0.0229629
7.7879295	-23.4500754	362.5972336	-0.0374705	-0.9972660	-0.0636909	0.9990680	-0.0360190	-0.0237876
6.9706626	-21.5240465	383.5555534	0.0187524	0.9982726	0.0556794	-0.9996595	0.0177098	0.0191614
7.0014906	13.6366395	378.1233425	0.1230524	-0.9918349	0.0334910	0.9922277	0.1223318	-0.0227843
7.2329348	-0.9732769	326.4079039	0.0220266	-0.9997514	-0.0034691	0.9995119	0.0220979	-0.0220825
6.8994322	-20.5161414	327.7831468	-0.0216873	-0.9978406	-0.0619989	0.9995442	-0.0203380	-0.0223121
6.3497227	-26.7851068	338.7582859	-0.0318077	-0.9964309	-0.0781901	0.9993194	-0.0302424	-0.0211226
5.8814088	3.2733570	266.6879432	-0.9755151	0.2191255	0.0188240	-0.2188248	-0.9756195	0.0168007
6.2185805	-1.8518704	295.6378066	-0.3126910	-0.9498547	0.0006274	0.9496221	-0.3126289	-0.0219331
5.6425191	-24.8587730	286.3918208	-0.6649627	0.7428365	0.0775793	-0.7466187	-0.6638667	-0.0429136
5.3150771	-8.9950249	260.7341367	0.2363601	0.9712419	0.0286885	-0.9714520	0.2355863	0.0279305
5.0603580	-11.4752692	232.4829573	-0.0149165	-0.9986888	-0.0489702	0.9996525	-0.0138305	-0.0224417
4.7714886	-10.4408868	229.4961998	-0.1004412	0.9938179	0.0473018	-0.9947263	-0.1012980	0.0160730
4.4943167	-16.1759231	230.1610614	0.0032087	0.9975387	0.0700452	-0.9998052	0.0018360	0.0196521
4.0030559	-19.0654357	202.8423143	0.0685973	0.9933919	0.0920165	-0.9974510	0.0664755	0.0259326
3.6453787	-10.7395914	204.4361269	0.0143042	-0.9985074	-0.0527094	0.9997392	0.0152207	-0.0170271
3.3479022	-18.8506042	176.7985283	-0.0020903	-0.9943659	-0.1059816	0.9998206	-0.0000830	-0.0189417
2.9339772	-1.0560904	161.1289512	-0.0052700	0.9999640	0.0066500	-0.9998204	-0.0053901	0.0181703
3.2145407	8.2896000	138.1227310	-0.0157750	0.9981016	-0.0595351	-0.9996058	-0.0143597	0.0241257
2.8824721	-39.3381070	127.0343714	0.0096274	-0.9551418	-0.2959925	0.9997188	0.0156085	-0.0178507
1.9271670	-8.1741515	125.7311376	-0.0197668	-0.9977179	-0.0645616	0.9996876	-0.0187354	-0.0165409
2.4589942	19.3669751	112.5883052	0.0139823	0.9853783	-0.1698061	-0.9996706	0.0174308	0.0188350
2.4042303	-10.3018297	95.8389468	-0.0124691	-0.9942283	-0.1065579	0.9996113	-0.0097368	-0.0261230
2.1475715	-14.4379176	98.4064629	0.4044024	-0.9035849	-0.1413969	0.9143264	0.4030780	0.0391847
1.6525989	-26.3416424	96.2200504	-0.1182878	0.9572187	0.2640842	-0.9928412	-0.1184481	-0.0153747
1.1954976	4.0881191	69.6863953	-0.0054862	-0.9982631	0.0586567	0.9998383	-0.0064804	-0.0167725
1.6338499	7.6014187	75.4660847	0.0043963	-0.9949653	0.1001240	0.9997584	0.0022169	-0.0218682
1.3648612	-13.0910617	42.2649028	0.0232547	0.9551817	0.2951054	-0.9992540	0.0131042	0.0363278
1.1590981	-13.3572200	46.0648512	0.2179589	-0.9358665	-0.2768534	0.9756589	0.2159636	0.0380722
0.7150802	-13.1493786	13.9555773	-0.0116426	-0.7280652	-0.6854091	0.9992375	0.0170755	-0.0351116
0.4590873	-19.6207446	34.2646619	-0.0470986	-0.8671051	-0.4958936	0.9988226	-0.0351039	-0.0334838
-0.0594011	-3.9598617	10.1128766	-0.1557562	-0.9194847	-0.3609541	0.9877804	-0.1470059	-0.0517605
0.2967090	17.0334563	23.1566943	-0.0093389	0.8055655	-0.5924332	-0.9999031	-0.0014080	0.0138475
0.2545378	-25.8743137	-4.8864857	-0.0145165	0.1854169	-0.9825527	0.9998479	0.0121913	-0.0124715
-0.5612670	-19.0137359	-8.5613599	-0.0150116	0.4108933	-0.9115598	0.9995252	-0.0183658	-0.0247388
-0.3549686	26.8331130	-16.9145287	-0.0379236	-0.5332312	-0.8451191	-0.9992180	0.0107647	0.0380466
0.1494896	-0.4685558	-7.8132341	-0.1721441	0.9831029	-0.0622498	0.9848867	0.1729927	0.0084694
-0.4077950	-30.7307244	-23.8294441	-0.0438392	0.6125567	-0.7892100	0.9989836	0.0185867	-0.0410653
-0.8754286	-3.0564089	-24.1496658	0.0326701	0.9914083	-0.1266580	0.9988198	-0.0369427	-0.0315318
-0.6655178	11.1030325	-18.5415793	0.1217091	0.8534813	0.5067115	0.9920885	-0.0887732	-0.0887683
-0.5372451	0.2914074	-36.6888202	0.0006576	-0.9999682	-0.0079521	-0.9998926	-0.0007740	0.0146356
-0.4914357	10.0631836	-18.2140201	-0.0067050	0.8751953	0.4837233	0.9996988	0.0172878	-0.0174216
-0.2853231	-10.5418176	-20.5963828	0.0976209	0.8853748	-0.4545125	0.9951473	-0.0924977	0.0335571
-0.8586317	-12.4972018	-4.1479731	0.0453599	-0.3174952	0.9471744	-0.9968492	0.0473737	0.0636186
-0.7135768	7.8409960	-28.7919913	0.1081626	0.9598762	0.2587248	0.9938457	-0.0981469	-0.0513599
-0.5930069	12.7355251	-6.9634458	0.0262728	0.4805196	0.8765904	0.9988210	0.0231895	-0.0426480
-0.0334698	25.3072051	-25.6686157	0.0421233	0.7114976	0.7014249	0.9991120	-0.0293448	-0.0302344
0.3509283	2.7481661	-8.9526338	0.0829898	-0.9535838	-0.2894660	-0.9958466	-0.0684410	-0.0600447
-0.0410123	-38.7100528	-20.0140558	0.0339943	-0.4590341	0.8877680	-0.9994216	-0.0147771	0.0306290
-0.7983477	11.5070670	3.6775477	-0.1118905	-0.3095452	0.9442787	0.9915302	0.0282800	0.1267600
