Data calculated via Fourier domain filtering

Frequency:	6.2831853

Number of harmonics used:	39

Number of cycles in input:	3

Time	Strain	Rate	Stress	G'_t	G"_t	|G*_t|	tan(delta_t)	delta_t	displacement stress	est. elastic stress	dG'_{t}/dt	dG"_{t}/dt	Speed	norm. PAV
[s]	[-]	[1/s]	[Pa]	[Pa]	[Pa]	[Pa]	[]	[rad]	[Pa]	[Pa]	[Pa/s]	[Pa/s]	[Pa/s]	[]

0.0000000	0.0000000	1.0000322	0.0661990	76.1551802	53.4688659	93.0512284	0.7021041	0.6121367	-8.4439095	0.1108777	0.0000000	32412.5973312	32412.5973312	44.2320384
0.0013021	0.0081814	0.9999987	0.6870219	76.3071833	91.6868488	119.2864806	1.2015494	0.8766926	-14.5296748	0.1985917	227.1947681	27769.6232768	27770.5526484	22.5836704
0.0026042	0.0163623	0.9998983	1.3017097	76.6750120	122.1612410	144.2304624	1.5932341	1.0102907	-19.3934557	0.2692928	343.8433640	21012.2830654	21015.0961901	11.3030393
0.0039062	0.0245420	0.9997310	1.9081943	77.0846048	142.5514550	162.0584882	1.8492857	1.0750831	-22.6652838	0.3185733	311.3735587	12683.9525797	12687.7739000	5.0562353
0.0052083	0.0327201	0.9994968	2.5050785	77.3278420	151.3315129	169.9435846	1.9570120	1.0984009	-24.0981373	0.3443561	113.2898281	3460.6462520	3462.5001179	0.8265658
0.0065104	0.0408961	0.9991956	3.0917379	77.1938840	147.9200685	166.8509587	1.9162149	1.0898124	-23.5884620	0.3464703	-241.6704445	-5904.6282035	5909.5717971	-2.9521975
0.0078125	0.0490693	0.9988276	3.6683594	76.5023239	132.7321961	153.2006574	1.7350087	1.0479361	-21.1857715	0.3259990	-719.4380641	-14644.4982220	14662.1594352	-7.5413553
0.0091146	0.0572392	0.9983928	4.2359143	75.1340741	107.1479977	130.8656659	1.4260906	0.9592536	-17.0904221	0.2847048	-1263.6664904	-22041.4739293	22077.6680375	-14.8219214
0.0104167	0.0654052	0.9978911	4.7960671	73.0560593	73.4002381	103.5605270	1.0047112	0.7877482	-11.6395559	0.2247289	-1801.6764047	-27488.2700314	27547.2508099	-28.7059609
0.0117188	0.0735669	0.9973226	5.3510273	70.3363865	34.3902213	78.2936433	0.4889393	0.4547599	-5.2821242	0.1486650	-2252.6897318	-30538.9695995	30621.9410754	-54.8257717
0.0130208	0.0817237	0.9966873	5.9033565	67.1476644	-6.5526390	67.4666282	-0.0975855	-0.0972775	1.4552306	0.0600516	-2537.4747729	-30946.5771691	31050.4334383	-74.0613985
0.0143229	0.0898750	0.9959854	6.4557469	63.7574357	-45.9472013	78.5885228	-0.7206564	-0.6244552	8.0089133	-0.0357404	-2588.3378659	-28683.6876736	28800.2331842	-50.3681363
0.0156250	0.0980203	0.9952168	7.0107895	60.5061324	-80.4494452	100.6633265	-1.3296081	-0.9259517	13.8226433	-0.1304300	-2358.3245507	-23944.4709926	24060.3280485	-25.6149512
0.0169271	0.1061590	0.9943816	7.5707501	57.7744172	-107.1292208	121.7150493	-1.8542674	-1.0762079	18.3918242	-0.2121795	-1828.5448697	-17127.8071190	17225.1372432	-12.5317130
0.0182292	0.1142906	0.9934798	8.1373735	55.9430570	-123.7114039	135.7723723	-2.2113808	-1.1461093	21.3045084	-0.2665342	-1012.7101692	-8803.0570127	8861.1170095	-5.1081850
0.0195312	0.1224146	0.9925115	8.7117303	55.3494605	-128.7610864	140.1534164	-2.3263296	-1.1648150	22.2756492	-0.2800401	41.7536172	338.5293847	341.0945746	0.4252572
0.0208333	0.1305304	0.9914768	9.2941195	56.2455705	-121.7973235	134.1571921	-2.1654563	-1.1381759	21.1717898	-0.2458866	1256.2965773	9542.5198936	9624.8619216	6.3239520
0.0221354	0.1386374	0.9903757	9.8840349	58.7618671	-103.3261928	118.8665602	-1.7583885	-1.0537076	18.0240446	-0.1680929	2527.4246788	18055.0079939	18231.0501389	15.0871675
0.0234375	0.1467352	0.9892084	10.4801973	62.8817876	-74.7909188	97.7128484	-1.1893892	-0.8716866	13.0281135	-0.0604490	3735.9605203	25185.8000364	25461.3810404	31.1341581
0.0247396	0.1548231	0.9879748	11.0806495	68.4299387	-38.4439742	78.4894621	-0.5618005	-0.5118579	6.5310832	0.0593812	4758.5264999	30365.6432628	30736.2304978	58.1094418
0.0260417	0.1629007	0.9866751	11.6829065	75.0761486	2.8472602	75.1301203	0.0379250	0.0379068	-0.9941695	0.1761429	5480.1238068	33192.6203981	33641.9649520	68.9873845
0.0273438	0.1709674	0.9853094	12.2841469	82.3558175	45.8440937	94.2558306	0.5566588	0.5079412	-8.9851396	0.2800689	5806.5248967	33463.8275361	33963.8555636	43.7410564
0.0286458	0.1790226	0.9838777	12.8814304	89.7053277	87.2081506	125.1091817	0.9721624	0.7712839	-16.8336901	0.3666780	5675.1727016	31189.7770724	31701.8892027	22.7560841
0.0299479	0.1870659	0.9823802	13.4719232	96.5096559	123.7776386	156.9554634	1.2825415	0.9085554	-23.9344557	0.4350665	5063.3921936	26590.5044403	27068.3000370	12.0206536
0.0312500	0.1950966	0.9808169	14.0531114	102.1579501	152.8247916	183.8250900	1.4959657	0.9815501	-29.7337913	0.4861537	3992.9601526	20073.9662658	20467.2385148	6.3672953
0.0325521	0.2031143	0.9791879	14.6229876	106.1018509	172.2729765	202.3254338	1.6236567	1.0187721	-33.7752819	0.5214431	2530.4246069	12198.8532156	12458.5339614	2.9737807
0.0338542	0.2111184	0.9774935	15.1801927	107.9108582	180.8557529	210.6028411	1.6759736	1.0328304	-35.7380270	0.5422994	782.9825527	3625.2666600	3708.8569713	0.5598663
0.0351562	0.2191083	0.9757336	15.7241046	107.3191368	178.2054623	208.0254406	1.6605190	1.0287451	-35.4644375	0.5495660	-1109.8286434	-4942.2913835	5065.3690622	-1.5511347
0.0364583	0.2270836	0.9739084	16.2548659	104.2588101	164.8651891	195.0651944	1.5813070	1.0069017	-32.9750859	0.5433646	-2987.9398627	-12814.5751954	13158.3100002	-3.8663919
0.0377604	0.2350437	0.9720180	16.7733494	98.8759744	142.2246323	173.2175059	1.4384145	0.9632924	-28.4691800	0.5229718	-4685.0021543	-19374.7248736	19933.1183991	-6.9983412
0.0390625	0.2429880	0.9700625	17.2810661	91.5272480	112.3869341	144.9415747	1.2279068	0.8873400	-22.3104035	0.4867450	-6043.7541976	-24128.0192509	24873.4452333	-12.0183971
0.0403646	0.2509161	0.9680421	17.7800238	82.7565123	77.9792751	113.7075533	0.9422736	0.7556859	-14.9990815	0.4321596	-6931.0350819	-26740.1497777	27623.8096113	-21.1267452
0.0416667	0.2588274	0.9659569	18.2725491	73.2534203	41.9245635	84.4022074	0.5723223	0.5198196	-7.1327911	0.3561988	-7250.9746186	-27061.0056810	28015.6145995	-38.1810321
0.0429688	0.2667213	0.9638071	18.7610876	63.7970519	7.1944533	64.2014329	0.1127709	0.1122965	0.6414610	0.2566666	-6955.0424433	-25132.2940340	26076.9020170	-60.6934294
0.0442708	0.2745975	0.9615928	19.2479995	55.1896011	-23.4349989	59.9590798	-0.4246271	-0.4015547	7.6796198	0.1354477	-6047.9195943	-21178.7672621	22025.3834055	-58.3805582
0.0455729	0.2824552	0.9593141	19.7353682	48.1860418	-47.6045295	67.7354106	-0.9879319	-0.7793276	13.3932096	0.0045073	-4588.5451589	-15584.2624316	16245.7373551	-33.6316761
0.0468750	0.2902940	0.9569712	20.2248348	43.4262159	-63.5517720	76.9718387	-1.4634425	-0.9713527	17.2978238	-0.1080327	-2686.1480952	-8855.0435538	9253.4959842	-14.7798753
0.0481771	0.2981134	0.9545642	20.7174742	41.3756736	-70.2363684	81.5174448	-1.6975281	-1.0384361	19.0533930	-0.1623840	-491.5553915	-1573.9686141	1648.9402357	-2.2143787
0.0494792	0.3059129	0.9520933	21.2137197	42.2808696	-67.4013163	79.5651266	-1.5941327	-1.0105445	18.4928032	-0.1314670	1815.4753206	5650.3080439	5934.8067897	9.2384845
0.0507812	0.3136918	0.9495588	21.7133415	46.1430502	-55.5675095	72.2283130	-1.2042444	-0.8777939	15.6363924	-0.0251759	4041.7631540	12234.5916888	12884.9168870	24.1447176
0.0520833	0.3214498	0.9469606	22.2154802	52.7134752	-35.9642318	63.8132936	-0.6822588	-0.5987196	10.6910371	0.1186357	5997.6364440	17668.4672157	18658.6810002	44.6736698
0.0533854	0.3291863	0.9442991	22.7187286	61.5106605	-10.4037236	62.3842835	-0.1691369	-0.1675512	4.0338374	0.2636068	7513.7318891	21553.7852795	22825.9025403	56.9179988
0.0546875	0.3369007	0.9415744	23.2212567	71.8583019	18.8875894	74.2991021	0.2628449	0.2570310	-3.8182787	0.3900369	8456.1084459	23633.2398902	25100.5138943	43.7474020
0.0559896	0.3445926	0.9387867	23.7209660	82.9406282	49.4654149	96.5710882	0.5963955	0.5377649	-12.2505124	0.4922948	8738.2798397	23806.0274601	25359.1103548	25.8065499
0.0572917	0.3522614	0.9359361	24.2156606	93.8703303	78.8739538	122.6080727	0.8402437	0.6988027	-20.6002067	0.5717153	8329.0589371	22129.7787453	23645.3024952	14.6350313
0.0585938	0.3599066	0.9330229	24.7032211	103.7630609	104.8446709	147.5099245	1.0104238	0.7905830	-28.2107229	0.6317830	7255.5013667	18809.1800105	20160.0484312	8.3868199
0.0598958	0.3675278	0.9300472	25.1817661	111.8119160	125.4712538	168.0623101	1.1221635	0.8429003	-34.4846753	0.6759446	5600.6956206	14172.8368026	15239.3272315	4.6962252
0.0611979	0.3751243	0.9270093	25.6497904	117.3553394	139.3472848	182.1810678	1.1873962	0.8708604	-38.9320863	0.7068697	3496.6271557	8640.8840233	9321.5491294	2.2849664
0.0625000	0.3826958	0.9239093	26.1062677	119.9325251	145.6569443	188.6789760	1.2144908	0.8819548	-41.2094874	0.7263014	1112.7978945	2686.5317690	2907.8810326	0.4935070
0.0638021	0.3902416	0.9207475	26.5507125	119.3215716	144.2135084	187.1768507	1.2086122	0.8795727	-41.1467925	0.7350811	-1358.3337047	-3204.8925530	3480.8629289	-1.0611438
0.0651042	0.3977613	0.9175241	26.9831978	115.5572390	135.4450864	178.0417000	1.1721039	0.8644667	-38.7598397	0.7331781	-3717.7493542	-8575.8080548	9346.9858272	-2.6620140
0.0664062	0.4052544	0.9142392	27.4043276	108.9270190	120.3315286	162.3107275	1.1046986	0.8351024	-34.2477447	0.7196644	-5776.6157145	-13031.8362384	14254.7551665	-4.6014161
0.0677083	0.4127203	0.9108932	27.8151701	99.9461763	100.3003416	141.5958921	1.0035436	0.7871668	-27.9755048	0.6926260	-7371.8856131	-16270.0982573	17862.2729459	-7.2859929
