Data calculated via numerical differentiation

Frequency:	6.2831853

Step size for numerical diff.:	8

Looped differentiation

Time	Strain	Rate	Stress	G'_t	G"_t	|G*_t|	tan(delta_t)	delta_t	displacement stress	est. elastic stress	dG'_{t}/dt	dG"_{t}/dt	Speed	norm. PAV
[s]	[-]	[1/s]	[Pa]	[Pa]	[Pa]	[Pa]	[]	[rad]	[Pa]	[Pa]	[Pa/s]	[Pa/s]	[Pa/s]	[]

0.0000000	0.0012573	1.4299985	-0.3778355	45.4358876	-3.0340825	45.5370787	-0.0667772	-0.0666782	0.2555688	-0.0043675	-418.6858715	-245.3901853	485.2980549	2.9812580
0.0039062	0.0342549	1.5821978	2.0444319	55.8518740	2.8576809	55.9249333	0.0511654	0.0511208	-0.5883723	0.0447894	-1934.8284977	-1758.6524004	2614.6547728	1.9472673
0.0078125	0.0774815	1.5818621	3.9230671	49.2186114	-0.3793252	49.2200731	-0.0077069	-0.0077068	0.2050360	0.0733157	105.9755933	-33.5952753	111.1731483	-0.9448796
0.0117188	0.1074788	1.0294029	5.4986737	58.9632290	1.8290674	58.9915914	0.0310205	0.0310105	-1.1382849	0.1267837	-690.2971701	-187.7022777	715.3616764	4.9614432
0.0156250	0.1362031	1.4733617	5.8977030	51.6312434	-5.1251774	51.8849953	-0.0992650	-0.0989409	0.0671823	0.1349020	114.9976856	258.4506357	282.8801845	-0.4637683
0.0195312	0.1800109	1.9241241	9.3237450	45.9705710	1.0338161	45.9821941	0.0224887	0.0224849	0.7319525	0.1640887	123.6945700	-54.9049361	135.3325484	0.3407966
0.0234375	0.2239037	1.5810752	10.3680677	41.2216396	-3.5316908	41.3726529	-0.0856757	-0.0854669	2.0270888	0.1747284	-339.2593038	-185.4201331	386.6232028	-2.7822654
0.0273438	0.2543674	0.8537108	11.6366692	54.8558858	2.3902710	54.9079375	0.0435736	0.0435461	-2.6416530	0.3025237	-16.0558923	-91.2588402	92.6604964	7.3525785
0.0312500	0.2713885	0.7884641	14.2229333	51.1562560	-1.5124139	51.1786081	-0.0295646	-0.0295560	0.5295032	0.2610378	-40.4821894	-72.0065959	82.6060380	1.5820845
0.0351562	0.2987318	1.3750086	15.8507236	43.8511586	-13.3122039	45.8272723	-0.3035770	-0.2947352	5.6642247	0.1695624	-981.7231469	-2519.2044478	2703.7328616	0.7396641
0.0390625	0.3374813	1.8471222	16.6641643	49.1065547	-0.2353796	49.1071189	-0.0047932	-0.0047932	0.1608180	0.3342064	-8.1748349	-30.3907489	31.4710271	1.1617340
0.0429688	0.3757631	0.6281243	20.0037088	42.9845199	-9.6162027	44.0470238	-0.2237132	-0.2200893	4.8130362	0.2637917	-274.4030701	-567.3315878	630.2080413	0.2613678
0.0468750	0.3829859	1.2164124	19.7069990	41.5576796	-12.9778967	43.5369559	-0.3122864	-0.3026902	6.3034875	0.2313055	298.6058880	395.3670732	495.4599872	2.0875129
0.0507812	0.4341315	1.6232636	20.9494718	41.9995162	-1.5141939	42.0268027	-0.0360527	-0.0360370	3.1073495	0.3601462	-535.8724190	-177.9668753	564.6516255	-0.6419808
0.0546875	0.4530900	0.8533561	22.7003715	52.1703889	-0.9242395	52.1785750	-0.0177158	-0.0177139	-0.8119854	0.4686541	-940.6241905	-304.6255211	988.7216878	5.2121052
0.0585938	0.4865560	1.4129865	25.4043340	43.5487903	5.3691306	43.8785221	0.1232900	0.1226710	3.0079780	0.4174846	590.4659356	-303.1642572	663.7458760	0.5932677
0.0625000	0.5158228	1.1129837	25.9753397	45.2626594	1.0006999	45.2737201	0.0221087	0.0221051	2.4505685	0.4616817	-12.4178395	-92.2835269	93.1152624	-0.6207167
0.0664062	0.5445075	1.2373524	27.1974987	44.7982123	-0.9115222	44.8074848	-0.0203473	-0.0203445	2.9840411	0.4778968	-122.5151993	-41.2009888	129.2574777	0.0864732
0.0703125	0.5771761	1.4540887	28.6219102	47.3104877	-1.4317587	47.3321474	-0.0302630	-0.0302538	1.6467734	0.5423683	10.0705548	2.3873427	10.3496608	1.3914424
0.0742188	0.6078281	0.6535126	29.5718418	13.0247285	58.0701070	59.5128631	4.4584505	1.3501548	15.6151876	-0.5910597	-15263.5109472	27424.7348441	31386.1569439	-3.7290104
0.0781250	0.6193891	1.1276266	30.6885906	43.2963273	-14.2537561	45.5822501	-0.3292140	-0.3180386	6.4294013	0.4708915	1042.0133279	3499.0806079	3650.9391773	-0.1274487
0.0820312	0.6565176	0.7695516	31.8220430	-17.3981896	-15.4698479	23.2811768	0.8891642	3.8683888	45.1389766	3.2509817	-33118.6954598	-7517.3811368	33961.1396763	0.5130308
0.0859375	0.6572701	0.4076883	33.5500809	34.7809895	-8.4347177	35.7891281	-0.2425094	-0.2379164	11.2368677	0.3341951	504.7710468	298.2645470	586.3067027	-0.0789943
0.0898438	0.6873847	1.3980758	34.7037054	44.5444559	-0.6162874	44.5487190	-0.0138353	-0.0138344	4.2216607	0.5926106	-138.9894347	-61.2914857	151.9036181	-0.7668737
0.0937500	0.7117227	0.6310917	34.6068550	61.8881694	6.3023854	62.2082436	0.1018351	0.1014852	-10.0733819	0.8744902	-465.6797064	-212.8157732	512.0040452	0.0016102
0.0976562	0.7213147	0.2693762	36.1383441	50.8753170	-0.0934274	50.8754028	-0.0018364	-0.0018364	-0.5547657	0.7322191	-137.2678982	-38.1384979	142.4676135	0.1871427
0.1015625	0.7294959	0.4299113	37.2406493	38.4631563	-2.5633901	38.5484807	-0.0666453	-0.0665469	9.3573272	0.4862156	4.0282174	0.8457808	4.1160516	-0.3580813
0.1054688	0.7431458	0.6599753	37.0772767	58.7144343	0.8939094	58.7212386	0.0152247	0.0152235	-6.6500033	0.8564059	399.9695248	135.7631151	422.3828171	1.1875436
0.1093750	0.7621042	0.9516159	38.0827904	52.7840899	-0.0043796	52.7840901	-0.0000830	-0.0000830	-2.1435237	0.8027135	126.7553364	22.5119823	128.7389011	-0.6191867
0.1132812	0.7821028	0.2869257	38.4760118	55.0250463	0.2966435	55.0258459	0.0053911	0.0053910	-4.5727790	0.8652064	-5.8032081	-16.1221801	17.1348159	-0.7517025
0.1171875	0.7819439	0.3299162	38.9564900	41.4332053	0.5952046	41.4374802	0.0143654	0.0143644	6.5267949	0.6244182	-191.7758268	74.3668204	205.6900380	-3.9699463
0.1210938	0.8010301	0.6899534	40.2070250	56.0044474	0.8743909	56.0112728	0.0156129	0.0156116	-4.7502404	0.8858491	776.7550631	56.9161801	778.8375181	-0.3651870
0.1250000	0.8115805	0.5359980	40.2905737	60.4371683	-1.1326705	60.4477812	-0.0187413	-0.0187391	-8.6624320	0.9549101	729.3937241	171.9644585	749.3910726	-0.2984790
0.1289062	0.8276315	0.4306917	41.4267150	53.0751352	-0.9254490	53.0832029	-0.0174366	-0.0174348	-2.4365004	0.8735381	566.6128054	-71.9419332	571.1617222	-0.2132962
0.1328125	0.8324526	0.2885897	41.5005901	38.2655313	-0.3727295	38.2673466	-0.0097406	-0.0097403	9.6634682	0.5799155	-282.1894638	-65.8570848	289.7724092	-1.1791672
0.1367188	0.8410122	0.0567020	42.0792382	-23.3337726	-10.2866225	25.5005793	0.4408470	3.5568089	61.7960565	3.4893648	12374.6099208	1840.6643040	12510.7560032	-0.1324403
0.1406250	0.8371817	0.0494415	42.0398567	-64.5764767	-7.7041157	65.0344120	0.1193022	3.2603336	96.1627225	2.3263110	-74774.4338229	-4691.1328383	74921.4433980	-0.3084193
0.1445312	0.8478365	0.5554609	42.1391325	59.6119318	-0.3863700	59.6131839	-0.0064814	-0.0064813	-8.3678816	0.9882091	-402.2400748	117.6279430	419.0864001	-0.1418956
0.1484375	0.8615808	0.7666902	42.6417139	45.7174687	0.1013763	45.7175811	0.0022175	0.0022174	3.2400521	0.7907096	124.5506844	-26.7709399	127.3952755	0.2453346
0.1523438	0.8725260	-0.6273279	42.8770883	27.5065997	-0.3607203	27.5089649	-0.0131140	-0.0131132	18.8408486	0.1875687	216.5788374	22.5802967	217.7527556	-0.1694324
0.1562500	0.8481425	0.0879113	42.6837303	-25.6265581	-5.6724788	26.2468568	0.2213516	3.3594318	64.4980700	3.3649873	4610.0624383	400.0469214	4627.3873000	-0.5324612
0.1601562	0.8783544	0.9876938	43.3740561	28.4589260	0.4863224	28.4630810	0.0170886	0.0170869	18.3005849	0.2353019	-217.9575208	-11.8528117	218.2795685	-0.1310509
0.1640625	0.8785475	-0.3273309	43.6277355	29.8300237	-1.0483841	29.8484408	-0.0351453	-0.0351308	17.3660254	0.2963815	-208.4152916	-4.8765132	208.4723343	0.0041325
0.1679688	0.8742189	-0.1190143	43.3993317	19.0836562	-2.8401158	19.2938382	-0.1488245	-0.1477401	26.6622417	-0.5229055	-739.5672175	11.0940932	739.6504229	-0.3356895
0.1718750	0.8698632	-0.3400916	44.2176801	72.2079943	0.1016782	72.2080659	0.0014081	0.0014081	-18.5878969	1.1272848	246.8650427	-4.3001893	246.9024928	-0.0287886
0.1757812	0.8644408	0.3065722	43.0628314	80.1708685	0.9775332	80.1768278	0.0121931	0.0121925	-26.2878337	1.1923384	1115.8903995	10.9775385	1115.9443938	0.1092484
0.1796875	0.8821225	0.6167718	43.6374115	40.4031383	-0.7423889	40.4099583	-0.0183745	-0.0183725	8.0697698	0.6823912	68.5743953	-2.0242494	68.6042657	0.1494735
0.1835938	0.8867601	-0.0384531	43.1535073	26.2629880	-0.2829337	26.2645120	-0.0107731	-0.0107727	19.8628065	0.1304559	-433.6985784	-5.7372916	433.7365253	1.1065504
0.1875000	0.8844934	-0.1671528	43.4411656	-116.2873035	-20.4255564	118.0675243	0.1756473	3.3154664	145.7531292	2.1378815	-628.2494504	-200.4388485	659.4490912	0.0737841
0.1914062	0.8787021	-0.2787225	42.8625803	24.3266806	0.4526137	24.3308908	0.0186056	0.0186035	21.5067521	-0.0053787	-66.9448598	0.8883546	66.9507538	20.9740386
0.1953125	0.8680025	-0.7406627	43.7789944	31.6765413	-1.1715987	31.6982004	-0.0369863	-0.0369695	16.1455705	0.3583013	-7.7819758	2.2289440	8.0948958	0.6695552
0.1992188	0.8510738	-0.1641848	43.2458580	11.1761598	-1.0000552	11.2208136	-0.0894811	-0.0892434	33.7079894	-2.1649881	-93.5304535	-5.6062327	93.6983221	2.6874271
0.2031250	0.8617368	0.6720820	43.6851894	68.3193344	0.0528839	68.3193548	0.0007741	0.0007741	-15.1937520	1.0841300	2.9773118	5.4890373	6.2445109	8.2354251
0.2070312	0.8669097	-0.6063214	42.3842014	57.3826863	0.9923184	57.3912657	0.0172930	0.0172913	-7.2656501	0.9935272	526.0005559	25.6872458	526.6274009	1.0948775
