"ft_amp","fft_resp"
0,0
1,1.88617430168321e-17
2,1
3,3.11537217465645e-17
4,0.15
5,5.13096444187048e-17
6,3.2591906457555e-17
7,2.04143311134492e-17
8,2.42907072050034e-17
9,1.20883404100236e-17
10,5.42402556215704e-17
11,9.09145853369437e-18
12,6.01300137793417e-18
13,1.13830256499918e-17
14,1.3386660054074e-17
15,2.78708510738303e-18
16,2.36838188082094e-17
17,1.22070517210562e-17
18,2.64088686986553e-18
19,1.04648412378817e-17
20,4.2343422299878e-17
21,7.75194751251084e-17
22,3.16485908531251e-17
23,1.45577676831305e-17
24,7.07806068246448e-17
25,2.58221662554597e-17
26,4.86181895513127e-17
27,4.86438552656632e-17
28,2.30164214025493e-17
29,2.24212581400188e-17
30,5.5609376422046e-18
31,8.61715012744185e-18
32,1.56437944227489e-17
33,1.47846737181331e-17
34,1.56437944227489e-17
35,1.4042095836836e-17
36,8.35609359562712e-18
37,4.46330546593155e-18
38,2.30071044094312e-17
39,2.66494912420415e-18
40,2.02857535970719e-17
41,1.35845684066009e-17
42,1.37578628657112e-17
43,1.10415975686643e-17
44,1.23563619536747e-17
45,2.56935928864875e-17
46,3.44985973648518e-17
47,2.60474515055211e-17
48,7.40210724132464e-17
49,5.36616999108297e-17
50,4.37990269565828e-17
51,2.16940905231924e-17
52,3.23910975249163e-18
53,7.9951293660766e-18
54,1.30651732418067e-17
55,1.7546634682467e-17
56,3.89634425267284e-17
57,6.89937606123217e-18
58,2.0936084045617e-17
59,1.16658092661244e-17
60,1.72125384327954e-17
61,2.88103259317614e-18
62,1.77388462321448e-17
63,8.49960517971433e-18
64,1.45628431318628e-17
65,2.62753427159183e-17
66,1.45628431318628e-17
67,3.88830796558488e-17
68,6.14296982897816e-17
69,8.03148901010787e-17
70,4.66238356647005e-17
71,3.37326870645736e-17
72,5.68216782228263e-17
73,6.48146925283555e-17
74,4.07976820174537e-17
75,2.78877266648725e-17
76,2.48576307409824e-17
77,1.32780362008845e-17
78,2.2767539352607e-17
79,3.67825983615624e-18
80,1.08271745868768e-17
81,6.7304828519813e-18
82,2.78993259012096e-18
83,2.35947904252885e-18
84,1.24203118212924e-17
85,9.73409144803682e-18
86,1.6353675555106e-17
87,2.12730958916211e-17
88,1.62008128466708e-17
89,5.93105914147373e-18
90,4.08033256917377e-17
91,2.13336312002923e-17
92,4.79662787513541e-17
93,2.4803816389308e-17
94,8.23325257960616e-18
95,2.75302519975696e-17
96,3.25231809663359e-18
97,2.45672991356376e-17
98,3.25231809663359e-18
99,1.38705708674805e-17
100,9.60025269955485e-18
101,7.75873974409698e-18
102,1.51665273571857e-17
103,9.90954723558708e-18
104,8.02220323280854e-18
105,2.8847170989263e-18
106,1.89715482849041e-17
107,5.42324303512907e-18
108,8.4314383579081e-18
109,1.54114256297354e-18
110,2.17037782632625e-17
111,7.1075458198825e-18
112,2.11762426970972e-17
113,1.0081757272865e-17
114,3.35121719069622e-17
115,5.57181706836835e-17
116,8.99611199360335e-17
117,3.78087593243437e-17
118,7.69864954968437e-17
119,5.7191198850039e-17
120,3.86986898114488e-17
121,3.64676868791073e-17
122,1.88072057026327e-17
123,1.5343154449309e-17
124,2.25537333968768e-17
125,2.36393545547376e-17
126,3.24899621718985e-17
127,9.62272585984837e-18
128,1.51966124484507e-17
